Epoch 0 {"5": 0.2691176470588235, "8": 0.3073529411764706, "10": 0.361764705882353, "12": 0.38823529411764707, "14": 0.4088235294117647, "16": 0.4147058823529412, "18": 0.43676470588235294, "20": 0.4544117647058824, "30": 0.5323529411764706}
Epoch 5 {"5": 0.3058823529411765, "8": 0.32794117647058824, "10": 0.3779411764705882, "12": 0.3941176470588235, "14": 0.40441176470588236, "16": 0.40588235294117647, "18": 0.4294117647058824, "20": 0.43529411764705883, "30": 0.4823529411764706}
Epoch 10 {"5": 0.3029411764705882, "8": 0.34411764705882353, "10": 0.43823529411764706, "12": 0.45441176470588235, "14": 0.4676470588235294, "16": 0.47794117647058826, "18": 0.5088235294117647, "20": 0.5235294117647058, "30": 0.6058823529411765}
Epoch 15 {"5": 0.2411764705882353, "8": 0.27647058823529413, "10": 0.3661764705882353, "12": 0.3852941176470588, "14": 0.40294117647058825, "16": 0.4117647058823529, "18": 0.4426470588235294, "20": 0.4514705882352941, "30": 0.5205882352941177}
Epoch 20 {"5": 0.3205882352941176, "8": 0.37941176470588234, "10": 0.5058823529411764, "12": 0.513235294117647, "14": 0.5367647058823529, "16": 0.5426470588235294, "18": 0.5632352941176471, "20": 0.575, "30": 0.6176470588235294}
Epoch 25 {"5": 0.3426470588235294, "8": 0.3955882352941177, "10": 0.5279411764705882, "12": 0.538235294117647, "14": 0.5529411764705883, "16": 0.5632352941176471, "18": 0.5779411764705882, "20": 0.5882352941176471, "30": 0.6338235294117647}
Epoch 30 {"5": 0.3558823529411764, "8": 0.4235294117647059, "10": 0.5661764705882353, "12": 0.575, "14": 0.5955882352941176, "16": 0.6, "18": 0.6161764705882353, "20": 0.6279411764705882, "30": 0.6764705882352942}
Epoch 35 {"5": 0.3426470588235294, "8": 0.388235294117647, "10": 0.49558823529411766, "12": 0.5176470588235293, "14": 0.5294117647058824, "16": 0.5441176470588235, "18": 0.5661764705882353, "20": 0.588235294117647, "30": 0.6367647058823529}
Epoch 40 {"5": 0.37058823529411766, "8": 0.4294117647058824, "10": 0.5397058823529411, "12": 0.5544117647058824, "14": 0.5661764705882353, "16": 0.5794117647058823, "18": 0.5955882352941176, "20": 0.6161764705882353, "30": 0.6617647058823529}
Epoch 45 {"5": 0.37941176470588234, "8": 0.4882352941176471, "10": 0.5897058823529412, "12": 0.6014705882352941, "14": 0.6102941176470589, "16": 0.6220588235294118, "18": 0.6397058823529411, "20": 0.6441176470588236, "30": 0.6794117647058824}
Epoch 50 {"5": 0.3720588235294118, "8": 0.4661764705882353, "10": 0.5764705882352941, "12": 0.5897058823529412, "14": 0.6088235294117648, "16": 0.6161764705882353, "18": 0.6235294117647059, "20": 0.638235294117647, "30": 0.6823529411764706}
Epoch 55 {"5": 0.3558823529411765, "8": 0.43676470588235294, "10": 0.5779411764705882, "12": 0.5970588235294118, "14": 0.611764705882353, "16": 0.6220588235294118, "18": 0.638235294117647, "20": 0.6529411764705882, "30": 0.6911764705882353}
Epoch 60 {"5": 0.36764705882352944, "8": 0.45147058823529407, "10": 0.588235294117647, "12": 0.5985294117647059, "14": 0.6132352941176471, "16": 0.6279411764705882, "18": 0.6455882352941176, "20": 0.6573529411764706, "30": 0.6955882352941176}
Epoch 65 {"5": 0.3764705882352941, "8": 0.4779411764705882, "10": 0.6088235294117648, "12": 0.6191176470588236, "14": 0.6264705882352941, "16": 0.6441176470588235, "18": 0.6573529411764706, "20": 0.6691176470588236, "30": 0.7058823529411764}
Epoch 70 {"5": 0.3867647058823529, "8": 0.4970588235294118, "10": 0.6191176470588236, "12": 0.6294117647058823, "14": 0.6352941176470588, "16": 0.6573529411764706, "18": 0.6661764705882354, "20": 0.6779411764705883, "30": 0.7132352941176471}
Epoch 75 {"5": 0.4088235294117647, "8": 0.5176470588235295, "10": 0.6338235294117647, "12": 0.6485294117647058, "14": 0.6544117647058824, "16": 0.6647058823529413, "18": 0.6764705882352942, "20": 0.6867647058823529, "30": 0.7205882352941176}
