Epoch 0 {"5": 0.07647058823529412, "8": 0.13529411764705881, "10": 0.16323529411764706, "12": 0.19117647058823528, "14": 0.22352941176470587, "16": 0.2485294117647059, "18": 0.28823529411764703, "20": 0.31176470588235294, "30": 0.425}
Epoch 5 {"5": 0.1, "8": 0.15, "10": 0.18088235294117647, "12": 0.2088235294117647, "14": 0.2514705882352941, "16": 0.275, "18": 0.3073529411764706, "20": 0.33529411764705885, "30": 0.4426470588235294}
Epoch 10 {"5": 0.051470588235294115, "8": 0.08529411764705883, "10": 0.12941176470588237, "12": 0.14705882352941177, "14": 0.1764705882352941, "16": 0.19264705882352942, "18": 0.23529411764705882, "20": 0.25882352941176473, "30": 0.3411764705882353}
Epoch 15 {"5": 0.07058823529411765, "8": 0.10147058823529412, "10": 0.13823529411764707, "12": 0.15441176470588236, "14": 0.17647058823529413, "16": 0.1970588235294118, "18": 0.21911764705882353, "20": 0.23823529411764705, "30": 0.3205882352941176}
Epoch 20 {"5": 0.10294117647058823, "8": 0.14411764705882352, "10": 0.22058823529411764, "12": 0.25588235294117645, "14": 0.2838235294117647, "16": 0.30294117647058827, "18": 0.34705882352941175, "20": 0.37058823529411766, "30": 0.49264705882352944}
Epoch 25 {"5": 0.08823529411764705, "8": 0.12941176470588234, "10": 0.1588235294117647, "12": 0.18823529411764706, "14": 0.21176470588235294, "16": 0.24411764705882352, "18": 0.27941176470588236, "20": 0.30147058823529416, "30": 0.4088235294117647}
Epoch 30 {"5": 0.07058823529411765, "8": 0.10735294117647058, "10": 0.1264705882352941, "12": 0.15, "14": 0.16470588235294117, "16": 0.18676470588235294, "18": 0.21323529411764705, "20": 0.23088235294117648, "30": 0.3058823529411765}
Epoch 35 {"5": 0.13676470588235295, "8": 0.23676470588235293, "10": 0.39558823529411763, "12": 0.4161764705882353, "14": 0.4485294117647059, "16": 0.47058823529411764, "18": 0.4897058823529412, "20": 0.5102941176470588, "30": 0.6073529411764707}
Epoch 40 {"5": 0.0911764705882353, "8": 0.1323529411764706, "10": 0.20882352941176469, "12": 0.225, "14": 0.24117647058823527, "16": 0.25, "18": 0.27058823529411763, "20": 0.2911764705882353, "30": 0.3926470588235294}
Epoch 45 {"5": 0.08970588235294119, "8": 0.13676470588235295, "10": 0.23529411764705882, "12": 0.2485294117647059, "14": 0.28088235294117647, "16": 0.3205882352941176, "18": 0.3602941176470588, "20": 0.388235294117647, "30": 0.5147058823529411}
Epoch 50 {"5": 0.05588235294117647, "8": 0.08088235294117646, "10": 0.09705882352941175, "12": 0.12058823529411765, "14": 0.13823529411764707, "16": 0.1514705882352941, "18": 0.17352941176470588, "20": 0.18823529411764706, "30": 0.2661764705882353}
Epoch 55 {"5": 0.10147058823529412, "8": 0.15294117647058825, "10": 0.25441176470588234, "12": 0.2926470588235294, "14": 0.31029411764705883, "16": 0.33088235294117646, "18": 0.37058823529411766, "20": 0.3955882352941177, "30": 0.5044117647058823}
Epoch 60 {"5": 0.12352941176470589, "8": 0.2676470588235294, "10": 0.4073529411764706, "12": 0.43529411764705883, "14": 0.47205882352941175, "16": 0.4970588235294118, "18": 0.5147058823529411, "20": 0.5411764705882353, "30": 0.6147058823529412}
Epoch 65 {"5": 0.1338235294117647, "8": 0.26176470588235295, "10": 0.41323529411764703, "12": 0.4294117647058824, "14": 0.4544117647058824, "16": 0.4794117647058823, "18": 0.5014705882352941, "20": 0.5249999999999999, "30": 0.6147058823529412}
Epoch 70 {"5": 0.13676470588235295, "8": 0.25735294117647056, "10": 0.40588235294117647, "12": 0.42794117647058827, "14": 0.4588235294117647, "16": 0.49264705882352944, "18": 0.5220588235294117, "20": 0.55, "30": 0.6220588235294118}
Epoch 75 {"5": 0.1338235294117647, "8": 0.275, "10": 0.42058823529411765, "12": 0.43823529411764706, "14": 0.4676470588235294, "16": 0.49264705882352944, "18": 0.5147058823529411, "20": 0.5397058823529411, "30": 0.6279411764705882}
