Epoch 0 {"5": 0.061764705882352944, "8": 0.11323529411764706, "10": 0.15588235294117647, "12": 0.1764705882352941, "14": 0.20441176470588235, "16": 0.22058823529411764, "18": 0.24705882352941178, "20": 0.2691176470588236, "30": 0.3897058823529412}
Epoch 5 {"5": 0.041176470588235294, "8": 0.060294117647058824, "10": 0.06764705882352941, "12": 0.07647058823529412, "14": 0.08823529411764705, "16": 0.10294117647058823, "18": 0.11323529411764706, "20": 0.11470588235294119, "30": 0.14558823529411766}
Epoch 10 {"5": 0.04264705882352941, "8": 0.06764705882352941, "10": 0.08823529411764705, "12": 0.10441176470588234, "14": 0.11764705882352941, "16": 0.1323529411764706, "18": 0.1588235294117647, "20": 0.16617647058823531, "30": 0.22941176470588234}
Epoch 15 {"5": 0.061764705882352944, "8": 0.10588235294117646, "10": 0.12205882352941178, "12": 0.14852941176470588, "14": 0.16176470588235292, "16": 0.1764705882352941, "18": 0.20147058823529412, "20": 0.2161764705882353, "30": 0.3205882352941176}
Epoch 20 {"5": 0.07941176470588235, "8": 0.12205882352941176, "10": 0.16911764705882354, "12": 0.18970588235294117, "14": 0.22058823529411764, "16": 0.2323529411764706, "18": 0.27647058823529413, "20": 0.29411764705882354, "30": 0.4294117647058823}
Epoch 25 {"5": 0.11323529411764706, "8": 0.1426470588235294, "10": 0.29411764705882354, "12": 0.33088235294117646, "14": 0.35441176470588237, "16": 0.36911764705882355, "18": 0.4088235294117647, "20": 0.42647058823529416, "30": 0.5220588235294118}
Epoch 30 {"5": 0.09558823529411764, "8": 0.12794117647058822, "10": 0.20294117647058824, "12": 0.22794117647058823, "14": 0.2602941176470588, "16": 0.27647058823529413, "18": 0.3205882352941176, "20": 0.3426470588235294, "30": 0.43970588235294117}
Epoch 35 {"5": 0.12941176470588234, "8": 0.1779411764705882, "10": 0.35, "12": 0.36911764705882355, "14": 0.40588235294117647, "16": 0.425, "18": 0.4588235294117647, "20": 0.4808823529411764, "30": 0.5661764705882353}
Epoch 40 {"5": 0.1264705882352941, "8": 0.17352941176470588, "10": 0.34705882352941175, "12": 0.36764705882352944, "14": 0.39558823529411763, "16": 0.4073529411764706, "18": 0.4455882352941176, "20": 0.4661764705882353, "30": 0.5647058823529412}
Epoch 45 {"5": 0.11911764705882352, "8": 0.15588235294117647, "10": 0.2985294117647059, "12": 0.3205882352941176, "14": 0.3514705882352941, "16": 0.37941176470588234, "18": 0.41323529411764703, "20": 0.43970588235294117, "30": 0.5455882352941177}
Epoch 50 {"5": 0.12058823529411763, "8": 0.24117647058823533, "10": 0.40441176470588236, "12": 0.41764705882352937, "14": 0.4485294117647059, "16": 0.46911764705882353, "18": 0.4985294117647059, "20": 0.5161764705882352, "30": 0.5735294117647058}
Epoch 55 {"5": 0.12352941176470589, "8": 0.26176470588235295, "10": 0.43823529411764706, "12": 0.45735294117647063, "14": 0.47352941176470587, "16": 0.5014705882352941, "18": 0.5264705882352941, "20": 0.5441176470588235, "30": 0.6044117647058824}
Epoch 60 {"5": 0.12352941176470589, "8": 0.2088235294117647, "10": 0.39705882352941174, "12": 0.4191176470588235, "14": 0.43970588235294117, "16": 0.4647058823529412, "18": 0.4897058823529412, "20": 0.5117647058823529, "30": 0.5823529411764706}
Epoch 65 {"5": 0.0985294117647059, "8": 0.20294117647058824, "10": 0.3382352941176471, "12": 0.35294117647058826, "14": 0.3779411764705882, "16": 0.4102941176470588, "18": 0.4308823529411765, "20": 0.4544117647058823, "30": 0.5191176470588235}
Epoch 70 {"5": 0.12205882352941178, "8": 0.22941176470588237, "10": 0.38823529411764707, "12": 0.4088235294117647, "14": 0.4323529411764706, "16": 0.45294117647058824, "18": 0.47352941176470587, "20": 0.49264705882352944, "30": 0.5602941176470588}
Epoch 75 {"5": 0.1323529411764706, "8": 0.24264705882352944, "10": 0.4147058823529412, "12": 0.43529411764705883, "14": 0.45441176470588235, "16": 0.47352941176470587, "18": 0.4970588235294118, "20": 0.513235294117647, "30": 0.5838235294117647}
