Epoch 0 {"5": 0.16176470588235295, "8": 0.19264705882352942, "10": 0.2338235294117647, "12": 0.25588235294117645, "14": 0.2823529411764706, "16": 0.3044117647058824, "18": 0.33088235294117646, "20": 0.3602941176470588, "30": 0.45735294117647063}
Epoch 5 {"5": 0.10294117647058823, "8": 0.13823529411764707, "10": 0.15588235294117647, "12": 0.16911764705882354, "14": 0.19117647058823528, "16": 0.21029411764705883, "18": 0.22058823529411764, "20": 0.2323529411764706, "30": 0.29705882352941176}
Epoch 10 {"5": 0.09411764705882353, "8": 0.12794117647058822, "10": 0.16323529411764706, "12": 0.1764705882352941, "14": 0.19558823529411765, "16": 0.20441176470588235, "18": 0.23823529411764705, "20": 0.26176470588235295, "30": 0.34411764705882353}
Epoch 15 {"5": 0.18823529411764706, "8": 0.2147058823529412, "10": 0.325, "12": 0.3426470588235294, "14": 0.3647058823529412, "16": 0.3941176470588235, "18": 0.4308823529411765, "20": 0.47352941176470587, "30": 0.5676470588235294}
Epoch 20 {"5": 0.22205882352941175, "8": 0.27205882352941174, "10": 0.40147058823529413, "12": 0.42205882352941176, "14": 0.43823529411764706, "16": 0.4455882352941176, "18": 0.48235294117647054, "20": 0.513235294117647, "30": 0.6073529411764707}
Epoch 25 {"5": 0.325, "8": 0.4102941176470588, "10": 0.5676470588235294, "12": 0.5764705882352941, "14": 0.5941176470588235, "16": 0.6132352941176471, "18": 0.6397058823529411, "20": 0.6485294117647059, "30": 0.7161764705882353}
Epoch 30 {"5": 0.20294117647058824, "8": 0.23676470588235293, "10": 0.3970588235294118, "12": 0.4176470588235294, "14": 0.4426470588235294, "16": 0.46029411764705885, "18": 0.49264705882352944, "20": 0.513235294117647, "30": 0.6044117647058824}
Epoch 35 {"5": 0.1588235294117647, "8": 0.21029411764705883, "10": 0.22205882352941178, "12": 0.24411764705882355, "14": 0.26176470588235295, "16": 0.2735294117647059, "18": 0.2852941176470588, "20": 0.3058823529411765, "30": 0.375}
Epoch 40 {"5": 0.17352941176470588, "8": 0.2235294117647059, "10": 0.31029411764705883, "12": 0.33529411764705885, "14": 0.3588235294117647, "16": 0.36911764705882355, "18": 0.40147058823529413, "20": 0.4176470588235294, "30": 0.5367647058823529}
Epoch 45 {"5": 0.13823529411764707, "8": 0.18088235294117647, "10": 0.19852941176470587, "12": 0.21764705882352942, "14": 0.24117647058823527, "16": 0.2647058823529412, "18": 0.2823529411764706, "20": 0.3, "30": 0.3838235294117647}
Epoch 50 {"5": 0.20735294117647057, "8": 0.24705882352941178, "10": 0.3558823529411765, "12": 0.3764705882352941, "14": 0.3926470588235294, "16": 0.41323529411764703, "18": 0.4573529411764706, "20": 0.4764705882352941, "30": 0.5705882352941176}
Epoch 55 {"5": 0.1970588235294118, "8": 0.2602941176470588, "10": 0.3852941176470588, "12": 0.41911764705882354, "14": 0.4323529411764706, "16": 0.45294117647058824, "18": 0.4823529411764706, "20": 0.5073529411764706, "30": 0.5970588235294119}
Epoch 60 {"5": 0.21323529411764708, "8": 0.2985294117647059, "10": 0.4411764705882353, "12": 0.4632352941176471, "14": 0.4882352941176471, "16": 0.5191176470588235, "18": 0.5411764705882354, "20": 0.5602941176470588, "30": 0.6205882352941177}
Epoch 65 {"5": 0.26323529411764707, "8": 0.3088235294117647, "10": 0.41764705882352937, "12": 0.425, "14": 0.45294117647058824, "16": 0.47352941176470587, "18": 0.4985294117647059, "20": 0.5323529411764706, "30": 0.6132352941176471}
Epoch 70 {"5": 0.23529411764705882, "8": 0.27941176470588236, "10": 0.41323529411764703, "12": 0.4338235294117647, "14": 0.4573529411764706, "16": 0.4852941176470588, "18": 0.5161764705882352, "20": 0.5411764705882354, "30": 0.6264705882352941}
Epoch 75 {"5": 0.18529411764705883, "8": 0.275, "10": 0.43529411764705883, "12": 0.45294117647058824, "14": 0.47352941176470587, "16": 0.5, "18": 0.5308823529411765, "20": 0.5411764705882353, "30": 0.6220588235294118}
