Epoch 0 {"5": 0.21323529411764708, "8": 0.24558823529411766, "10": 0.28823529411764703, "12": 0.32499999999999996, "14": 0.34558823529411764, "16": 0.3661764705882353, "18": 0.3897058823529412, "20": 0.40588235294117647, "30": 0.48676470588235293}
Epoch 5 {"5": 0.21911764705882353, "8": 0.24411764705882355, "10": 0.27794117647058825, "12": 0.2867647058823529, "14": 0.29558823529411765, "16": 0.3044117647058824, "18": 0.32941176470588235, "20": 0.34558823529411764, "30": 0.4}
Epoch 10 {"5": 0.20294117647058824, "8": 0.23529411764705882, "10": 0.2735294117647059, "12": 0.2867647058823529, "14": 0.30000000000000004, "16": 0.31323529411764706, "18": 0.33235294117647063, "20": 0.34705882352941175, "30": 0.4308823529411765}
Epoch 15 {"5": 0.1985294117647059, "8": 0.22941176470588234, "10": 0.2735294117647059, "12": 0.29705882352941176, "14": 0.32205882352941173, "16": 0.3205882352941176, "18": 0.35, "20": 0.375, "30": 0.47058823529411764}
Epoch 20 {"5": 0.31176470588235294, "8": 0.3661764705882353, "10": 0.5088235294117647, "12": 0.5191176470588236, "14": 0.5323529411764706, "16": 0.5441176470588236, "18": 0.5632352941176471, "20": 0.5808823529411764, "30": 0.6161764705882353}
Epoch 25 {"5": 0.3514705882352941, "8": 0.41470588235294115, "10": 0.5514705882352942, "12": 0.5602941176470588, "14": 0.575, "16": 0.5911764705882353, "18": 0.6058823529411765, "20": 0.6161764705882353, "30": 0.6529411764705882}
Epoch 30 {"5": 0.25735294117647056, "8": 0.27941176470588236, "10": 0.3941176470588236, "12": 0.4161764705882353, "14": 0.4294117647058824, "16": 0.45441176470588235, "18": 0.4764705882352941, "20": 0.49411764705882355, "30": 0.5514705882352942}
Epoch 35 {"5": 0.2735294117647059, "8": 0.29117647058823526, "10": 0.40294117647058825, "12": 0.41470588235294115, "14": 0.43529411764705883, "16": 0.44705882352941173, "18": 0.4764705882352941, "20": 0.49117647058823527, "30": 0.5573529411764706}
Epoch 40 {"5": 0.3838235294117647, "8": 0.46176470588235297, "10": 0.5897058823529412, "12": 0.5955882352941176, "14": 0.6029411764705883, "16": 0.6147058823529412, "18": 0.6352941176470588, "20": 0.6455882352941176, "30": 0.6852941176470588}
Epoch 45 {"5": 0.36911764705882355, "8": 0.40441176470588236, "10": 0.4897058823529412, "12": 0.4985294117647059, "14": 0.5102941176470588, "16": 0.5279411764705882, "18": 0.55, "20": 0.5617647058823529, "30": 0.6308823529411764}
Epoch 50 {"5": 0.275, "8": 0.3220588235294118, "10": 0.4294117647058824, "12": 0.44852941176470584, "14": 0.45882352941176474, "16": 0.4676470588235294, "18": 0.49117647058823527, "20": 0.5088235294117647, "30": 0.5691176470588235}
Epoch 55 {"5": 0.23529411764705882, "8": 0.26323529411764707, "10": 0.36911764705882355, "12": 0.38235294117647056, "14": 0.3970588235294118, "16": 0.41323529411764703, "18": 0.43676470588235294, "20": 0.45588235294117646, "30": 0.5044117647058823}
Epoch 60 {"5": 0.3602941176470588, "8": 0.43823529411764706, "10": 0.5794117647058823, "12": 0.5838235294117646, "14": 0.5941176470588236, "16": 0.6014705882352942, "18": 0.6147058823529412, "20": 0.6308823529411764, "30": 0.661764705882353}
Epoch 65 {"5": 0.3544117647058823, "8": 0.4323529411764706, "10": 0.5794117647058823, "12": 0.586764705882353, "14": 0.5941176470588235, "16": 0.6044117647058823, "18": 0.6176470588235294, "20": 0.6294117647058823, "30": 0.675}
Epoch 70 {"5": 0.4441176470588235, "8": 0.5382352941176471, "10": 0.6588235294117648, "12": 0.6661764705882354, "14": 0.6705882352941177, "16": 0.6823529411764706, "18": 0.6911764705882353, "20": 0.7, "30": 0.7205882352941176}
Epoch 75 {"5": 0.44264705882352945, "8": 0.538235294117647, "10": 0.6558823529411765, "12": 0.6632352941176471, "14": 0.6720588235294118, "16": 0.6808823529411765, "18": 0.6882352941176471, "20": 0.7014705882352941, "30": 0.7264705882352941}
