Epoch 0 {"5": 0.2323529411764706, "8": 0.27058823529411763, "10": 0.3235294117647059, "12": 0.3397058823529412, "14": 0.35735294117647054, "16": 0.36764705882352944, "18": 0.38235294117647056, "20": 0.3985294117647059, "30": 0.48529411764705876}
Epoch 5 {"5": 0.22794117647058823, "8": 0.2647058823529412, "10": 0.2852941176470588, "12": 0.2985294117647059, "14": 0.3088235294117647, "16": 0.31029411764705883, "18": 0.32794117647058824, "20": 0.34411764705882353, "30": 0.40588235294117647}
Epoch 10 {"5": 0.24117647058823527, "8": 0.2823529411764706, "10": 0.37941176470588234, "12": 0.39558823529411763, "14": 0.41911764705882354, "16": 0.42205882352941176, "18": 0.4558823529411765, "20": 0.45735294117647063, "30": 0.526470588235294}
Epoch 15 {"5": 0.275, "8": 0.3191176470588235, "10": 0.45, "12": 0.46911764705882353, "14": 0.48382352941176465, "16": 0.4970588235294118, "18": 0.5205882352941176, "20": 0.5308823529411765, "30": 0.586764705882353}
Epoch 20 {"5": 0.2985294117647059, "8": 0.34852941176470587, "10": 0.48235294117647054, "12": 0.4985294117647059, "14": 0.5073529411764706, "16": 0.5264705882352941, "18": 0.5529411764705883, "20": 0.5691176470588235, "30": 0.6323529411764706}
Epoch 25 {"5": 0.27794117647058825, "8": 0.32499999999999996, "10": 0.47058823529411764, "12": 0.5, "14": 0.5235294117647059, "16": 0.5455882352941177, "18": 0.5691176470588235, "20": 0.5852941176470589, "30": 0.6529411764705882}
Epoch 30 {"5": 0.36764705882352944, "8": 0.4279411764705882, "10": 0.5779411764705882, "12": 0.5970588235294118, "14": 0.6073529411764707, "16": 0.6220588235294118, "18": 0.638235294117647, "20": 0.651470588235294, "30": 0.7029411764705882}
Epoch 35 {"5": 0.37941176470588234, "8": 0.45882352941176474, "10": 0.6058823529411765, "12": 0.6176470588235294, "14": 0.6367647058823529, "16": 0.6485294117647058, "18": 0.661764705882353, "20": 0.6720588235294118, "30": 0.7264705882352941}
Epoch 40 {"5": 0.3735294117647059, "8": 0.45588235294117646, "10": 0.6000000000000001, "12": 0.6147058823529412, "14": 0.638235294117647, "16": 0.65, "18": 0.6602941176470588, "20": 0.675, "30": 0.7235294117647059}
Epoch 45 {"5": 0.4470588235294118, "8": 0.5220588235294118, "10": 0.6485294117647058, "12": 0.6558823529411765, "14": 0.6705882352941177, "16": 0.675, "18": 0.6911764705882353, "20": 0.7, "30": 0.7485294117647059}
Epoch 50 {"5": 0.4147058823529412, "8": 0.4661764705882353, "10": 0.5676470588235294, "12": 0.5720588235294117, "14": 0.5838235294117646, "16": 0.6058823529411765, "18": 0.6205882352941177, "20": 0.6397058823529411, "30": 0.6970588235294117}
Epoch 55 {"5": 0.38088235294117645, "8": 0.47205882352941175, "10": 0.5676470588235294, "12": 0.5823529411764705, "14": 0.6, "16": 0.6132352941176471, "18": 0.6205882352941177, "20": 0.6338235294117647, "30": 0.6764705882352942}
Epoch 60 {"5": 0.3529411764705882, "8": 0.4220588235294117, "10": 0.5470588235294118, "12": 0.5632352941176471, "14": 0.575, "16": 0.5926470588235294, "18": 0.6058823529411764, "20": 0.6132352941176471, "30": 0.6720588235294118}
Epoch 65 {"5": 0.36911764705882355, "8": 0.4455882352941177, "10": 0.586764705882353, "12": 0.5955882352941178, "14": 0.6132352941176471, "16": 0.6294117647058823, "18": 0.6411764705882352, "20": 0.6544117647058824, "30": 0.7073529411764705}
Epoch 70 {"5": 0.22058823529411764, "8": 0.26323529411764707, "10": 0.32794117647058824, "12": 0.3529411764705882, "14": 0.3720588235294118, "16": 0.3897058823529411, "18": 0.41323529411764703, "20": 0.43676470588235294, "30": 0.5058823529411764}
Epoch 75 {"5": 0.2838235294117647, "8": 0.37058823529411766, "10": 0.5147058823529411, "12": 0.5323529411764706, "14": 0.5441176470588236, "16": 0.55, "18": 0.5764705882352941, "20": 0.5897058823529411, "30": 0.6470588235294117}
