Epoch 0 {"5": 0.23676470588235293, "8": 0.2823529411764706, "10": 0.3176470588235294, "12": 0.3382352941176471, "14": 0.3588235294117647, "16": 0.3764705882352941, "18": 0.40441176470588236, "20": 0.41617647058823526, "30": 0.4985294117647059}
Epoch 5 {"5": 0.2588235294117647, "8": 0.31323529411764706, "10": 0.3411764705882353, "12": 0.3720588235294118, "14": 0.3823529411764706, "16": 0.39558823529411763, "18": 0.4132352941176471, "20": 0.4426470588235294, "30": 0.5176470588235293}
Epoch 10 {"5": 0.2235294117647059, "8": 0.25588235294117645, "10": 0.29264705882352937, "12": 0.31323529411764706, "14": 0.34852941176470587, "16": 0.36176470588235293, "18": 0.3941176470588235, "20": 0.4191176470588235, "30": 0.5191176470588235}
Epoch 15 {"5": 0.2, "8": 0.23088235294117648, "10": 0.2602941176470588, "12": 0.27794117647058825, "14": 0.30294117647058827, "16": 0.31470588235294117, "18": 0.34558823529411764, "20": 0.36911764705882355, "30": 0.47205882352941175}
Epoch 20 {"5": 0.3191176470588235, "8": 0.3661764705882353, "10": 0.5073529411764706, "12": 0.5220588235294117, "14": 0.5352941176470589, "16": 0.55, "18": 0.5720588235294117, "20": 0.588235294117647, "30": 0.6691176470588236}
Epoch 25 {"5": 0.26323529411764707, "8": 0.3, "10": 0.41617647058823526, "12": 0.43529411764705883, "14": 0.4573529411764706, "16": 0.46029411764705885, "18": 0.48235294117647054, "20": 0.5058823529411764, "30": 0.5720588235294117}
Epoch 30 {"5": 0.3029411764705882, "8": 0.34705882352941175, "10": 0.5, "12": 0.5117647058823529, "14": 0.525, "16": 0.5397058823529413, "18": 0.5617647058823529, "20": 0.5735294117647058, "30": 0.6426470588235293}
Epoch 35 {"5": 0.32941176470588235, "8": 0.36911764705882355, "10": 0.45588235294117646, "12": 0.47352941176470587, "14": 0.49558823529411766, "16": 0.5029411764705882, "18": 0.5279411764705882, "20": 0.5544117647058824, "30": 0.6088235294117648}
Epoch 40 {"5": 0.23529411764705882, "8": 0.2661764705882353, "10": 0.34558823529411764, "12": 0.375, "14": 0.3985294117647059, "16": 0.41470588235294115, "18": 0.4514705882352941, "20": 0.4676470588235294, "30": 0.5602941176470588}
Epoch 45 {"5": 0.28823529411764703, "8": 0.3382352941176471, "10": 0.47058823529411764, "12": 0.4852941176470588, "14": 0.5029411764705882, "16": 0.5205882352941176, "18": 0.5441176470588236, "20": 0.5573529411764706, "30": 0.6397058823529411}
Epoch 50 {"5": 0.3338235294117647, "8": 0.3544117647058823, "10": 0.4485294117647059, "12": 0.4661764705882353, "14": 0.4779411764705882, "16": 0.48382352941176476, "18": 0.5102941176470588, "20": 0.5382352941176471, "30": 0.6102941176470589}
Epoch 55 {"5": 0.26029411764705884, "8": 0.3044117647058824, "10": 0.41470588235294115, "12": 0.4323529411764706, "14": 0.45882352941176474, "16": 0.4676470588235294, "18": 0.4897058823529412, "20": 0.5014705882352941, "30": 0.5897058823529412}
Epoch 60 {"5": 0.325, "8": 0.3382352941176471, "10": 0.47205882352941175, "12": 0.4882352941176471, "14": 0.5117647058823529, "16": 0.5161764705882352, "18": 0.5367647058823529, "20": 0.5588235294117647, "30": 0.6220588235294118}
Epoch 65 {"5": 0.35441176470588237, "8": 0.44705882352941173, "10": 0.5985294117647059, "12": 0.6102941176470589, "14": 0.6161764705882353, "16": 0.6352941176470588, "18": 0.6470588235294118, "20": 0.6617647058823529, "30": 0.7044117647058823}
Epoch 70 {"5": 0.40147058823529413, "8": 0.4852941176470589, "10": 0.6323529411764706, "12": 0.638235294117647, "14": 0.6529411764705882, "16": 0.6705882352941176, "18": 0.6735294117647059, "20": 0.6911764705882353, "30": 0.7294117647058823}
Epoch 75 {"5": 0.3970588235294118, "8": 0.4897058823529412, "10": 0.6264705882352941, "12": 0.6308823529411764, "14": 0.6441176470588235, "16": 0.6647058823529413, "18": 0.6676470588235295, "20": 0.6867647058823529, "30": 0.725}
