Epoch 0 {"5": 0.13970588235294118, "8": 0.19117647058823528, "10": 0.23970588235294119, "12": 0.2647058823529412, "14": 0.29117647058823526, "16": 0.3088235294117647, "18": 0.34852941176470587, "20": 0.3764705882352941, "30": 0.4794117647058823}
Epoch 5 {"5": 0.08529411764705883, "8": 0.125, "10": 0.13970588235294118, "12": 0.15441176470588236, "14": 0.1661764705882353, "16": 0.18088235294117647, "18": 0.2, "20": 0.21029411764705883, "30": 0.275}
Epoch 10 {"5": 0.08382352941176471, "8": 0.13088235294117645, "10": 0.15, "12": 0.17352941176470588, "14": 0.18970588235294117, "16": 0.21176470588235297, "18": 0.24705882352941178, "20": 0.2705882352941177, "30": 0.34852941176470587}
Epoch 15 {"5": 0.1264705882352941, "8": 0.17205882352941176, "10": 0.21176470588235294, "12": 0.2323529411764706, "14": 0.25588235294117645, "16": 0.2735294117647059, "18": 0.31323529411764706, "20": 0.33529411764705885, "30": 0.4308823529411765}
Epoch 20 {"5": 0.12794117647058822, "8": 0.1602941176470588, "10": 0.28088235294117647, "12": 0.3, "14": 0.32794117647058824, "16": 0.3411764705882353, "18": 0.3852941176470588, "20": 0.4235294117647059, "30": 0.5147058823529411}
Epoch 25 {"5": 0.14558823529411763, "8": 0.225, "10": 0.38088235294117645, "12": 0.40147058823529413, "14": 0.4264705882352941, "16": 0.44411764705882356, "18": 0.46911764705882353, "20": 0.49558823529411766, "30": 0.5882352941176471}
Epoch 30 {"5": 0.15735294117647058, "8": 0.23529411764705882, "10": 0.3911764705882353, "12": 0.4117647058823529, "14": 0.4323529411764706, "16": 0.45735294117647063, "18": 0.486764705882353, "20": 0.5117647058823529, "30": 0.6014705882352941}
Epoch 35 {"5": 0.13823529411764707, "8": 0.18823529411764706, "10": 0.32794117647058824, "12": 0.3397058823529412, "14": 0.36323529411764705, "16": 0.38088235294117645, "18": 0.41617647058823526, "20": 0.43823529411764706, "30": 0.5220588235294118}
Epoch 40 {"5": 0.14558823529411766, "8": 0.20882352941176469, "10": 0.37941176470588234, "12": 0.40588235294117647, "14": 0.42794117647058827, "16": 0.4602941176470588, "18": 0.4882352941176471, "20": 0.5102941176470588, "30": 0.598529411764706}
Epoch 45 {"5": 0.14705882352941174, "8": 0.18823529411764706, "10": 0.3205882352941176, "12": 0.35, "14": 0.36911764705882355, "16": 0.3897058823529412, "18": 0.4176470588235294, "20": 0.43676470588235294, "30": 0.5191176470588236}
Epoch 50 {"5": 0.15441176470588236, "8": 0.24411764705882352, "10": 0.3720588235294118, "12": 0.3911764705882353, "14": 0.41470588235294115, "16": 0.4323529411764706, "18": 0.4573529411764706, "20": 0.4779411764705882, "30": 0.5823529411764705}
Epoch 55 {"5": 0.1426470588235294, "8": 0.17794117647058824, "10": 0.29411764705882354, "12": 0.3088235294117647, "14": 0.32647058823529407, "16": 0.3397058823529412, "18": 0.37941176470588234, "20": 0.40588235294117647, "30": 0.513235294117647}
Epoch 60 {"5": 0.12941176470588237, "8": 0.18529411764705883, "10": 0.2911764705882353, "12": 0.3029411764705882, "14": 0.32205882352941173, "16": 0.33676470588235297, "18": 0.35, "20": 0.37058823529411766, "30": 0.4308823529411765}
Epoch 65 {"5": 0.13970588235294118, "8": 0.2, "10": 0.3397058823529412, "12": 0.3544117647058823, "14": 0.3779411764705882, "16": 0.38823529411764707, "18": 0.41617647058823526, "20": 0.4529411764705883, "30": 0.5544117647058824}
Epoch 70 {"5": 0.16323529411764703, "8": 0.2235294117647059, "10": 0.3779411764705882, "12": 0.40147058823529413, "14": 0.4294117647058824, "16": 0.46176470588235297, "18": 0.48676470588235293, "20": 0.5102941176470588, "30": 0.6014705882352942}
Epoch 75 {"5": 0.13529411764705881, "8": 0.1661764705882353, "10": 0.2588235294117647, "12": 0.27647058823529413, "14": 0.2970588235294118, "16": 0.3058823529411765, "18": 0.3264705882352941, "20": 0.34852941176470587, "30": 0.4088235294117647}
