Epoch 0 {"5": 0.08235294117647059, "8": 0.1338235294117647, "10": 0.16323529411764706, "12": 0.1823529411764706, "14": 0.20147058823529412, "16": 0.2235294117647059, "18": 0.25441176470588234, "20": 0.27941176470588236, "30": 0.3764705882352941}
Epoch 5 {"5": 0.060294117647058824, "8": 0.10147058823529412, "10": 0.11764705882352941, "12": 0.1411764705882353, "14": 0.15441176470588236, "16": 0.1661764705882353, "18": 0.1911764705882353, "20": 0.2102941176470588, "30": 0.27352941176470585}
Epoch 10 {"5": 0.09705882352941177, "8": 0.12205882352941178, "10": 0.1926470588235294, "12": 0.22058823529411764, "14": 0.24411764705882355, "16": 0.2647058823529412, "18": 0.3073529411764706, "20": 0.32205882352941173, "30": 0.41323529411764703}
Epoch 15 {"5": 0.1264705882352941, "8": 0.2735294117647059, "10": 0.43970588235294117, "12": 0.45735294117647063, "14": 0.475, "16": 0.5, "18": 0.525, "20": 0.5426470588235294, "30": 0.6161764705882353}
Epoch 20 {"5": 0.055882352941176466, "8": 0.08529411764705883, "10": 0.11764705882352941, "12": 0.14852941176470588, "14": 0.16911764705882354, "16": 0.18088235294117647, "18": 0.1941176470588235, "20": 0.2161764705882353, "30": 0.2897058823529412}
Epoch 25 {"5": 0.07205882352941177, "8": 0.10294117647058823, "10": 0.15588235294117647, "12": 0.1808823529411765, "14": 0.20294117647058824, "16": 0.20882352941176469, "18": 0.24411764705882352, "20": 0.27647058823529413, "30": 0.36911764705882355}
Epoch 30 {"5": 0.10147058823529412, "8": 0.14852941176470588, "10": 0.21176470588235294, "12": 0.24705882352941178, "14": 0.27205882352941174, "16": 0.2985294117647059, "18": 0.3382352941176471, "20": 0.36323529411764705, "30": 0.46176470588235297}
Epoch 35 {"5": 0.12941176470588234, "8": 0.18676470588235294, "10": 0.3338235294117647, "12": 0.3544117647058823, "14": 0.388235294117647, "16": 0.4088235294117647, "18": 0.4441176470588235, "20": 0.4647058823529412, "30": 0.5691176470588235}
Epoch 40 {"5": 0.033823529411764704, "8": 0.058823529411764705, "10": 0.07352941176470588, "12": 0.0911764705882353, "14": 0.11176470588235293, "16": 0.12352941176470587, "18": 0.13970588235294118, "20": 0.14558823529411766, "30": 0.21470588235294116}
Epoch 45 {"5": 0.12205882352941178, "8": 0.21176470588235294, "10": 0.37058823529411766, "12": 0.3838235294117647, "14": 0.40441176470588236, "16": 0.4294117647058824, "18": 0.44852941176470584, "20": 0.47352941176470587, "30": 0.5544117647058824}
Epoch 50 {"5": 0.125, "8": 0.2264705882352941, "10": 0.38970588235294124, "12": 0.40147058823529413, "14": 0.42205882352941176, "16": 0.4470588235294118, "18": 0.47058823529411764, "20": 0.48676470588235293, "30": 0.5720588235294117}
Epoch 55 {"5": 0.11470588235294119, "8": 0.18823529411764706, "10": 0.37058823529411766, "12": 0.3897058823529412, "14": 0.41764705882352937, "16": 0.43676470588235294, "18": 0.46029411764705885, "20": 0.47500000000000003, "30": 0.5602941176470588}
Epoch 60 {"5": 0.06764705882352942, "8": 0.13088235294117648, "10": 0.23970588235294116, "12": 0.2588235294117647, "14": 0.28970588235294115, "16": 0.31176470588235294, "18": 0.3411764705882353, "20": 0.3632352941176471, "30": 0.43970588235294117}
Epoch 65 {"5": 0.12205882352941178, "8": 0.23676470588235293, "10": 0.37941176470588234, "12": 0.40588235294117647, "14": 0.43529411764705883, "16": 0.45441176470588235, "18": 0.4661764705882353, "20": 0.48823529411764705, "30": 0.5779411764705883}
Epoch 70 {"5": 0.12058823529411763, "8": 0.2661764705882353, "10": 0.4235294117647059, "12": 0.44999999999999996, "14": 0.47352941176470587, "16": 0.49558823529411766, "18": 0.5029411764705882, "20": 0.525, "30": 0.5970588235294118}
Epoch 75 {"5": 0.09852941176470588, "8": 0.1411764705882353, "10": 0.26029411764705884, "12": 0.2882352941176471, "14": 0.3088235294117647, "16": 0.3044117647058824, "18": 0.33235294117647063, "20": 0.35735294117647054, "30": 0.4176470588235294}
