Epoch 0 {"5": 0.20588235294117646, "8": 0.24558823529411766, "10": 0.2823529411764706, "12": 0.3058823529411765, "14": 0.33088235294117646, "16": 0.34558823529411764, "18": 0.3764705882352941, "20": 0.388235294117647, "30": 0.4632352941176471}
Epoch 5 {"5": 0.24117647058823527, "8": 0.27205882352941174, "10": 0.30294117647058827, "12": 0.31176470588235294, "14": 0.32499999999999996, "16": 0.32794117647058824, "18": 0.35735294117647054, "20": 0.36911764705882355, "30": 0.43823529411764706}
Epoch 10 {"5": 0.21176470588235294, "8": 0.2485294117647059, "10": 0.27794117647058825, "12": 0.2955882352941176, "14": 0.3191176470588235, "16": 0.3397058823529412, "18": 0.3720588235294118, "20": 0.3926470588235294, "30": 0.45882352941176474}
Epoch 15 {"5": 0.27794117647058825, "8": 0.3058823529411765, "10": 0.375, "12": 0.39558823529411763, "14": 0.4073529411764706, "16": 0.41470588235294115, "18": 0.4441176470588235, "20": 0.47058823529411764, "30": 0.5470588235294118}
Epoch 20 {"5": 0.24117647058823527, "8": 0.29264705882352937, "10": 0.41323529411764703, "12": 0.4294117647058823, "14": 0.45441176470588235, "16": 0.475, "18": 0.4970588235294118, "20": 0.5176470588235293, "30": 0.588235294117647}
Epoch 25 {"5": 0.28823529411764703, "8": 0.34558823529411764, "10": 0.4808823529411764, "12": 0.48970588235294116, "14": 0.5117647058823529, "16": 0.5264705882352941, "18": 0.5426470588235295, "20": 0.5573529411764706, "30": 0.6161764705882353}
Epoch 30 {"5": 0.34852941176470587, "8": 0.4323529411764706, "10": 0.5617647058823529, "12": 0.5735294117647058, "14": 0.5955882352941176, "16": 0.611764705882353, "18": 0.6264705882352941, "20": 0.6367647058823529, "30": 0.6794117647058824}
Epoch 35 {"5": 0.37941176470588234, "8": 0.4661764705882353, "10": 0.5985294117647059, "12": 0.6073529411764707, "14": 0.625, "16": 0.6338235294117647, "18": 0.6485294117647059, "20": 0.6617647058823529, "30": 0.711764705882353}
Epoch 40 {"5": 0.40588235294117647, "8": 0.48235294117647054, "10": 0.6176470588235294, "12": 0.6294117647058823, "14": 0.6397058823529411, "16": 0.6499999999999999, "18": 0.663235294117647, "20": 0.6779411764705883, "30": 0.7294117647058824}
Epoch 45 {"5": 0.4088235294117647, "8": 0.48235294117647054, "10": 0.6073529411764707, "12": 0.6176470588235294, "14": 0.6279411764705882, "16": 0.6411764705882352, "18": 0.6544117647058824, "20": 0.6661764705882354, "30": 0.7250000000000001}
Epoch 50 {"5": 0.31323529411764706, "8": 0.388235294117647, "10": 0.5191176470588235, "12": 0.5338235294117647, "14": 0.5617647058823529, "16": 0.5705882352941176, "18": 0.5970588235294118, "20": 0.6088235294117648, "30": 0.6617647058823529}
Epoch 55 {"5": 0.32941176470588235, "8": 0.38088235294117645, "10": 0.4514705882352941, "12": 0.46911764705882353, "14": 0.48676470588235293, "16": 0.5014705882352941, "18": 0.5308823529411765, "20": 0.5485294117647059, "30": 0.6073529411764707}
Epoch 60 {"5": 0.3014705882352941, "8": 0.3529411764705882, "10": 0.4764705882352941, "12": 0.4897058823529412, "14": 0.4970588235294118, "16": 0.5102941176470588, "18": 0.5397058823529413, "20": 0.5573529411764706, "30": 0.6176470588235294}
Epoch 65 {"5": 0.3808823529411765, "8": 0.45, "10": 0.5470588235294118, "12": 0.5544117647058824, "14": 0.5691176470588235, "16": 0.5794117647058823, "18": 0.5985294117647059, "20": 0.6073529411764707, "30": 0.6558823529411765}
Epoch 70 {"5": 0.2647058823529412, "8": 0.31323529411764706, "10": 0.38676470588235295, "12": 0.40588235294117647, "14": 0.4294117647058824, "16": 0.4470588235294118, "18": 0.4779411764705882, "20": 0.5044117647058823, "30": 0.5985294117647059}
Epoch 75 {"5": 0.2588235294117647, "8": 0.28970588235294115, "10": 0.3514705882352941, "12": 0.3661764705882353, "14": 0.3941176470588236, "16": 0.40441176470588236, "18": 0.4338235294117647, "20": 0.45441176470588235, "30": 0.5426470588235295}
