Epoch 0 {"5": 0.09558823529411764, "8": 0.15, "10": 0.18088235294117647, "12": 0.20441176470588235, "14": 0.22058823529411764, "16": 0.24264705882352944, "18": 0.26176470588235295, "20": 0.2823529411764706, "30": 0.35}
Epoch 5 {"5": 0.06470588235294118, "8": 0.09411764705882353, "10": 0.1161764705882353, "12": 0.13529411764705884, "14": 0.14558823529411763, "16": 0.14852941176470588, "18": 0.16470588235294117, "20": 0.18529411764705883, "30": 0.23823529411764705}
Epoch 10 {"5": 0.09264705882352942, "8": 0.125, "10": 0.17941176470588235, "12": 0.1985294117647059, "14": 0.22205882352941175, "16": 0.2338235294117647, "18": 0.2676470588235294, "20": 0.29117647058823526, "30": 0.37941176470588234}
Epoch 15 {"5": 0.1, "8": 0.1323529411764706, "10": 0.22205882352941175, "12": 0.23676470588235293, "14": 0.2647058823529412, "16": 0.2838235294117647, "18": 0.31176470588235294, "20": 0.3411764705882353, "30": 0.46029411764705885}
Epoch 20 {"5": 0.12941176470588237, "8": 0.17058823529411765, "10": 0.3, "12": 0.325, "14": 0.3529411764705882, "16": 0.36764705882352944, "18": 0.40147058823529413, "20": 0.43529411764705883, "30": 0.5382352941176471}
Epoch 25 {"5": 0.10441176470588234, "8": 0.12941176470588234, "10": 0.23970588235294116, "12": 0.2588235294117647, "14": 0.275, "16": 0.2852941176470588, "18": 0.31470588235294117, "20": 0.3382352941176471, "30": 0.4279411764705882}
Epoch 30 {"5": 0.1073529411764706, "8": 0.14705882352941174, "10": 0.22058823529411764, "12": 0.24264705882352944, "14": 0.27794117647058825, "16": 0.3088235294117647, "18": 0.34852941176470587, "20": 0.38676470588235295, "30": 0.47500000000000003}
Epoch 35 {"5": 0.15735294117647058, "8": 0.2852941176470588, "10": 0.4455882352941176, "12": 0.46911764705882353, "14": 0.4897058823529412, "16": 0.5117647058823529, "18": 0.5426470588235294, "20": 0.5544117647058824, "30": 0.6220588235294118}
Epoch 40 {"5": 0.13676470588235295, "8": 0.1602941176470588, "10": 0.3044117647058824, "12": 0.32941176470588235, "14": 0.35735294117647054, "16": 0.38088235294117645, "18": 0.40294117647058825, "20": 0.4205882352941176, "30": 0.5}
Epoch 45 {"5": 0.125, "8": 0.1676470588235294, "10": 0.33676470588235297, "12": 0.36176470588235293, "14": 0.3941176470588235, "16": 0.4088235294117647, "18": 0.4338235294117647, "20": 0.45882352941176474, "30": 0.5558823529411765}
Epoch 50 {"5": 0.1073529411764706, "8": 0.1588235294117647, "10": 0.2573529411764706, "12": 0.2867647058823529, "14": 0.3073529411764706, "16": 0.32794117647058824, "18": 0.3632352941176471, "20": 0.3911764705882353, "30": 0.47941176470588237}
Epoch 55 {"5": 0.12941176470588234, "8": 0.2235294117647059, "10": 0.3764705882352941, "12": 0.3941176470588236, "14": 0.4205882352941176, "16": 0.44705882352941173, "18": 0.4647058823529412, "20": 0.4794117647058823, "30": 0.588235294117647}
Epoch 60 {"5": 0.10147058823529412, "8": 0.1602941176470588, "10": 0.2529411764705882, "12": 0.2705882352941177, "14": 0.29705882352941176, "16": 0.3191176470588235, "18": 0.3544117647058823, "20": 0.37941176470588234, "30": 0.486764705882353}
Epoch 65 {"5": 0.10147058823529412, "8": 0.13529411764705881, "10": 0.15735294117647058, "12": 0.17941176470588235, "14": 0.20147058823529412, "16": 0.2235294117647059, "18": 0.25, "20": 0.275, "30": 0.34852941176470587}
Epoch 70 {"5": 0.1426470588235294, "8": 0.22794117647058823, "10": 0.3911764705882353, "12": 0.40441176470588236, "14": 0.43970588235294117, "16": 0.45735294117647063, "18": 0.48529411764705876, "20": 0.5117647058823529, "30": 0.5955882352941176}
Epoch 75 {"5": 0.1338235294117647, "8": 0.2338235294117647, "10": 0.39705882352941174, "12": 0.42647058823529416, "14": 0.4441176470588235, "16": 0.4632352941176471, "18": 0.47794117647058826, "20": 0.5029411764705882, "30": 0.5794117647058823}
