Epoch 0 {"5": 0.09411764705882353, "8": 0.13970588235294118, "10": 0.1588235294117647, "12": 0.19705882352941176, "14": 0.2235294117647059, "16": 0.23970588235294116, "18": 0.2647058823529412, "20": 0.2926470588235294, "30": 0.3955882352941177}
Epoch 5 {"5": 0.08970588235294118, "8": 0.11323529411764705, "10": 0.1323529411764706, "12": 0.14411764705882352, "14": 0.1588235294117647, "16": 0.17205882352941176, "18": 0.1897058823529412, "20": 0.20735294117647057, "30": 0.24558823529411766}
Epoch 10 {"5": 0.11176470588235293, "8": 0.14852941176470588, "10": 0.19117647058823528, "12": 0.20147058823529412, "14": 0.21911764705882353, "16": 0.2411764705882353, "18": 0.2691176470588236, "20": 0.2985294117647059, "30": 0.3926470588235294}
Epoch 15 {"5": 0.11029411764705882, "8": 0.15735294117647058, "10": 0.21764705882352942, "12": 0.25441176470588234, "14": 0.2955882352941176, "16": 0.29558823529411765, "18": 0.3411764705882353, "20": 0.3588235294117647, "30": 0.45441176470588235}
Epoch 20 {"5": 0.16764705882352943, "8": 0.19117647058823528, "10": 0.35, "12": 0.3867647058823529, "14": 0.41323529411764703, "16": 0.4264705882352941, "18": 0.4544117647058823, "20": 0.47205882352941175, "30": 0.5779411764705882}
Epoch 25 {"5": 0.2161764705882353, "8": 0.2720588235294118, "10": 0.475, "12": 0.4985294117647059, "14": 0.525, "16": 0.5397058823529413, "18": 0.5544117647058824, "20": 0.5676470588235294, "30": 0.6514705882352941}
Epoch 30 {"5": 0.2573529411764706, "8": 0.3176470588235294, "10": 0.48970588235294116, "12": 0.5147058823529411, "14": 0.5323529411764706, "16": 0.55, "18": 0.5647058823529412, "20": 0.5838235294117647, "30": 0.6691176470588236}
Epoch 35 {"5": 0.17352941176470588, "8": 0.21176470588235294, "10": 0.3220588235294118, "12": 0.33676470588235297, "14": 0.36176470588235293, "16": 0.375, "18": 0.4191176470588235, "20": 0.4441176470588235, "30": 0.5455882352941177}
Epoch 40 {"5": 0.15735294117647058, "8": 0.20735294117647057, "10": 0.3558823529411765, "12": 0.3735294117647059, "14": 0.3970588235294118, "16": 0.4161764705882353, "18": 0.43970588235294117, "20": 0.46176470588235297, "30": 0.5735294117647058}
Epoch 45 {"5": 0.2661764705882353, "8": 0.3264705882352941, "10": 0.4308823529411765, "12": 0.4426470588235294, "14": 0.4661764705882353, "16": 0.47352941176470587, "18": 0.5044117647058823, "20": 0.5205882352941177, "30": 0.5691176470588235}
Epoch 50 {"5": 0.21911764705882353, "8": 0.2691176470588235, "10": 0.40294117647058825, "12": 0.4235294117647059, "14": 0.45294117647058824, "16": 0.46911764705882353, "18": 0.4985294117647059, "20": 0.526470588235294, "30": 0.6147058823529412}
Epoch 55 {"5": 0.18382352941176472, "8": 0.24411764705882355, "10": 0.4117647058823529, "12": 0.43970588235294117, "14": 0.4661764705882353, "16": 0.48235294117647054, "18": 0.5117647058823529, "20": 0.5308823529411765, "30": 0.6132352941176471}
Epoch 60 {"5": 0.3044117647058824, "8": 0.4191176470588235, "10": 0.5602941176470588, "12": 0.5764705882352941, "14": 0.5882352941176471, "16": 0.6073529411764707, "18": 0.6191176470588236, "20": 0.6367647058823529, "30": 0.7014705882352941}
Epoch 65 {"5": 0.2147058823529412, "8": 0.2647058823529412, "10": 0.33676470588235297, "12": 0.34558823529411764, "14": 0.36470588235294116, "16": 0.37058823529411766, "18": 0.38529411764705884, "20": 0.4102941176470588, "30": 0.4676470588235294}
Epoch 70 {"5": 0.1411764705882353, "8": 0.20882352941176469, "10": 0.36176470588235293, "12": 0.37941176470588234, "14": 0.4073529411764706, "16": 0.4191176470588235, "18": 0.4514705882352941, "20": 0.47058823529411764, "30": 0.5661764705882353}
Epoch 75 {"5": 0.3235294117647059, "8": 0.43823529411764706, "10": 0.6044117647058824, "12": 0.6147058823529412, "14": 0.625, "16": 0.6338235294117647, "18": 0.6485294117647059, "20": 0.6602941176470588, "30": 0.7073529411764706}
