Epoch 0 {"5": 0.07941176470588235, "8": 0.11470588235294117, "10": 0.1514705882352941, "12": 0.18970588235294117, "14": 0.21911764705882353, "16": 0.24558823529411763, "18": 0.2661764705882353, "20": 0.29264705882352937, "30": 0.388235294117647}
Epoch 5 {"5": 0.052941176470588235, "8": 0.09411764705882353, "10": 0.11323529411764706, "12": 0.1338235294117647, "14": 0.1514705882352941, "16": 0.16617647058823531, "18": 0.18088235294117647, "20": 0.19705882352941176, "30": 0.2514705882352941}
Epoch 10 {"5": 0.04558823529411765, "8": 0.08235294117647059, "10": 0.10588235294117648, "12": 0.12941176470588237, "14": 0.1588235294117647, "16": 0.18088235294117647, "18": 0.1985294117647059, "20": 0.20588235294117646, "30": 0.29705882352941176}
Epoch 15 {"5": 0.08088235294117646, "8": 0.1426470588235294, "10": 0.1926470588235294, "12": 0.23529411764705882, "14": 0.2720588235294118, "16": 0.2823529411764706, "18": 0.3264705882352941, "20": 0.34558823529411764, "30": 0.44852941176470584}
Epoch 20 {"5": 0.11764705882352941, "8": 0.1602941176470588, "10": 0.27794117647058825, "12": 0.3, "14": 0.3264705882352941, "16": 0.33676470588235297, "18": 0.375, "20": 0.3941176470588235, "30": 0.4852941176470588}
Epoch 25 {"5": 0.1073529411764706, "8": 0.14558823529411763, "10": 0.28823529411764703, "12": 0.3161764705882353, "14": 0.34558823529411764, "16": 0.3558823529411764, "18": 0.4, "20": 0.4191176470588235, "30": 0.5367647058823529}
Epoch 30 {"5": 0.1161764705882353, "8": 0.13529411764705884, "10": 0.2676470588235294, "12": 0.2911764705882353, "14": 0.31323529411764706, "16": 0.33529411764705885, "18": 0.38235294117647056, "20": 0.41764705882352937, "30": 0.5455882352941177}
Epoch 35 {"5": 0.13823529411764707, "8": 0.2161764705882353, "10": 0.38529411764705884, "12": 0.4161764705882353, "14": 0.43088235294117644, "16": 0.45, "18": 0.4852941176470588, "20": 0.5205882352941177, "30": 0.6161764705882353}
Epoch 40 {"5": 0.14558823529411763, "8": 0.2573529411764706, "10": 0.4235294117647058, "12": 0.44411764705882356, "14": 0.475, "16": 0.4985294117647059, "18": 0.5279411764705882, "20": 0.5514705882352942, "30": 0.6220588235294118}
Epoch 45 {"5": 0.12058823529411765, "8": 0.21470588235294116, "10": 0.38823529411764707, "12": 0.4102941176470588, "14": 0.4455882352941176, "16": 0.47205882352941175, "18": 0.4941176470588235, "20": 0.5161764705882352, "30": 0.6073529411764705}
Epoch 50 {"5": 0.08382352941176471, "8": 0.1338235294117647, "10": 0.15441176470588236, "12": 0.1823529411764706, "14": 0.2073529411764706, "16": 0.22058823529411764, "18": 0.23970588235294116, "20": 0.25441176470588234, "30": 0.325}
Epoch 55 {"5": 0.12794117647058822, "8": 0.2147058823529412, "10": 0.38676470588235295, "12": 0.40441176470588236, "14": 0.42794117647058827, "16": 0.4485294117647059, "18": 0.4764705882352941, "20": 0.5029411764705882, "30": 0.5911764705882353}
Epoch 60 {"5": 0.08970588235294118, "8": 0.15588235294117647, "10": 0.2647058823529412, "12": 0.29117647058823526, "14": 0.31470588235294117, "16": 0.34705882352941175, "18": 0.38235294117647056, "20": 0.4117647058823529, "30": 0.5323529411764706}
Epoch 65 {"5": 0.13823529411764707, "8": 0.22941176470588234, "10": 0.37941176470588234, "12": 0.40441176470588236, "14": 0.4441176470588235, "16": 0.4764705882352941, "18": 0.5073529411764706, "20": 0.5352941176470588, "30": 0.6205882352941177}
Epoch 70 {"5": 0.13823529411764707, "8": 0.25, "10": 0.3897058823529411, "12": 0.4102941176470588, "14": 0.45294117647058824, "16": 0.47794117647058826, "18": 0.5102941176470588, "20": 0.5323529411764706, "30": 0.625}
Epoch 75 {"5": 0.14705882352941174, "8": 0.25441176470588234, "10": 0.3897058823529411, "12": 0.4088235294117647, "14": 0.43823529411764706, "16": 0.4661764705882353, "18": 0.4955882352941176, "20": 0.5220588235294117, "30": 0.6073529411764707}
