Epoch 0 {"5": 0.07352941176470588, "8": 0.1073529411764706, "10": 0.1338235294117647, "12": 0.15588235294117647, "14": 0.17647058823529413, "16": 0.19852941176470587, "18": 0.22058823529411764, "20": 0.23529411764705882, "30": 0.3264705882352941}
Epoch 5 {"5": 0.061764705882352944, "8": 0.08088235294117647, "10": 0.09558823529411764, "12": 0.11176470588235293, "14": 0.12352941176470589, "16": 0.1323529411764706, "18": 0.1426470588235294, "20": 0.15294117647058825, "30": 0.20294117647058824}
Epoch 10 {"5": 0.0823529411764706, "8": 0.1, "10": 0.11029411764705882, "12": 0.125, "14": 0.13970588235294118, "16": 0.15441176470588236, "18": 0.17058823529411765, "20": 0.18676470588235294, "30": 0.26323529411764707}
Epoch 15 {"5": 0.11176470588235293, "8": 0.1338235294117647, "10": 0.21764705882352942, "12": 0.24705882352941178, "14": 0.2691176470588236, "16": 0.275, "18": 0.31029411764705883, "20": 0.33529411764705885, "30": 0.4441176470588235}
Epoch 20 {"5": 0.12205882352941176, "8": 0.15, "10": 0.28970588235294115, "12": 0.3191176470588235, "14": 0.34852941176470587, "16": 0.3661764705882353, "18": 0.4117647058823529, "20": 0.4323529411764706, "30": 0.5294117647058824}
Epoch 25 {"5": 0.15, "8": 0.18970588235294117, "10": 0.3573529411764706, "12": 0.38235294117647056, "14": 0.4073529411764706, "16": 0.4294117647058824, "18": 0.45294117647058824, "20": 0.4647058823529412, "30": 0.5779411764705882}
Epoch 30 {"5": 0.14705882352941177, "8": 0.18823529411764706, "10": 0.3779411764705882, "12": 0.3970588235294118, "14": 0.4205882352941176, "16": 0.43970588235294117, "18": 0.4676470588235294, "20": 0.48823529411764705, "30": 0.5764705882352941}
Epoch 35 {"5": 0.1073529411764706, "8": 0.15147058823529413, "10": 0.2147058823529412, "12": 0.2338235294117647, "14": 0.2617647058823529, "16": 0.2823529411764706, "18": 0.3176470588235294, "20": 0.3544117647058823, "30": 0.43970588235294117}
Epoch 40 {"5": 0.07058823529411765, "8": 0.0911764705882353, "10": 0.10294117647058823, "12": 0.11470588235294119, "14": 0.12794117647058822, "16": 0.14411764705882352, "18": 0.15735294117647058, "20": 0.17205882352941176, "30": 0.21176470588235294}
Epoch 45 {"5": 0.13970588235294118, "8": 0.20294117647058824, "10": 0.3558823529411765, "12": 0.3764705882352941, "14": 0.3985294117647059, "16": 0.4279411764705882, "18": 0.4647058823529412, "20": 0.48823529411764705, "30": 0.575}
Epoch 50 {"5": 0.1588235294117647, "8": 0.22794117647058823, "10": 0.375, "12": 0.3941176470588236, "14": 0.41617647058823526, "16": 0.43676470588235294, "18": 0.4602941176470588, "20": 0.4897058823529412, "30": 0.5735294117647058}
Epoch 55 {"5": 0.13529411764705881, "8": 0.2088235294117647, "10": 0.35294117647058826, "12": 0.3838235294117647, "14": 0.4088235294117647, "16": 0.4308823529411765, "18": 0.4647058823529412, "20": 0.4823529411764706, "30": 0.5529411764705883}
Epoch 60 {"5": 0.14852941176470588, "8": 0.23088235294117648, "10": 0.38382352941176473, "12": 0.41617647058823526, "14": 0.43676470588235294, "16": 0.45882352941176474, "18": 0.4794117647058823, "20": 0.49558823529411766, "30": 0.5735294117647058}
Epoch 65 {"5": 0.15294117647058825, "8": 0.19411764705882353, "10": 0.3205882352941176, "12": 0.34852941176470587, "14": 0.3897058823529412, "16": 0.41470588235294115, "18": 0.4411764705882353, "20": 0.46911764705882353, "30": 0.5573529411764706}
Epoch 70 {"5": 0.13088235294117648, "8": 0.16764705882352943, "10": 0.21323529411764708, "12": 0.23529411764705882, "14": 0.2588235294117647, "16": 0.2735294117647059, "18": 0.30294117647058827, "20": 0.32794117647058824, "30": 0.4088235294117647}
Epoch 75 {"5": 0.12058823529411765, "8": 0.1602941176470588, "10": 0.2514705882352941, "12": 0.27941176470588236, "14": 0.3088235294117647, "16": 0.31470588235294117, "18": 0.3514705882352941, "20": 0.3720588235294118, "30": 0.4823529411764706}
