Epoch 0 {"5": 0.1426470588235294, "8": 0.18676470588235294, "10": 0.22205882352941175, "12": 0.25, "14": 0.27941176470588236, "16": 0.2985294117647059, "18": 0.32794117647058824, "20": 0.35, "30": 0.43823529411764706}
Epoch 5 {"5": 0.08529411764705883, "8": 0.10441176470588234, "10": 0.12058823529411765, "12": 0.13529411764705881, "14": 0.13970588235294118, "16": 0.16176470588235292, "18": 0.17352941176470588, "20": 0.18529411764705883, "30": 0.24117647058823527}
Epoch 10 {"5": 0.10441176470588234, "8": 0.13970588235294118, "10": 0.16176470588235295, "12": 0.17794117647058824, "14": 0.20588235294117646, "16": 0.2279411764705882, "18": 0.24411764705882355, "20": 0.26029411764705884, "30": 0.34852941176470587}
Epoch 15 {"5": 0.1073529411764706, "8": 0.1602941176470588, "10": 0.20588235294117646, "12": 0.225, "14": 0.25441176470588234, "16": 0.2647058823529412, "18": 0.31470588235294117, "20": 0.34705882352941175, "30": 0.44999999999999996}
Epoch 20 {"5": 0.15294117647058825, "8": 0.18970588235294117, "10": 0.3426470588235294, "12": 0.3735294117647059, "14": 0.40588235294117647, "16": 0.4264705882352941, "18": 0.4661764705882353, "20": 0.4808823529411764, "30": 0.5544117647058824}
Epoch 25 {"5": 0.2323529411764706, "8": 0.2867647058823529, "10": 0.43970588235294117, "12": 0.46911764705882353, "14": 0.49558823529411766, "16": 0.5014705882352941, "18": 0.5352941176470588, "20": 0.5647058823529412, "30": 0.6367647058823529}
Epoch 30 {"5": 0.21029411764705885, "8": 0.29117647058823526, "10": 0.45735294117647063, "12": 0.46911764705882353, "14": 0.48970588235294116, "16": 0.5044117647058823, "18": 0.5147058823529411, "20": 0.5264705882352941, "30": 0.5955882352941176}
Epoch 35 {"5": 0.3558823529411764, "8": 0.4411764705882353, "10": 0.575, "12": 0.5823529411764706, "14": 0.6029411764705883, "16": 0.6073529411764707, "18": 0.6220588235294118, "20": 0.6294117647058823, "30": 0.6955882352941176}
Epoch 40 {"5": 0.27941176470588236, "8": 0.37058823529411766, "10": 0.5073529411764706, "12": 0.5220588235294118, "14": 0.538235294117647, "16": 0.5514705882352942, "18": 0.5661764705882353, "20": 0.5808823529411764, "30": 0.6588235294117647}
Epoch 45 {"5": 0.24705882352941178, "8": 0.33676470588235297, "10": 0.49558823529411766, "12": 0.5176470588235295, "14": 0.5338235294117647, "16": 0.5514705882352942, "18": 0.5676470588235294, "20": 0.5852941176470587, "30": 0.651470588235294}
Epoch 50 {"5": 0.29411764705882354, "8": 0.3735294117647059, "10": 0.4911764705882353, "12": 0.5117647058823529, "14": 0.5367647058823529, "16": 0.5455882352941177, "18": 0.5691176470588235, "20": 0.5794117647058823, "30": 0.6294117647058823}
Epoch 55 {"5": 0.15, "8": 0.21911764705882353, "10": 0.37941176470588234, "12": 0.4, "14": 0.4279411764705882, "16": 0.4426470588235294, "18": 0.47205882352941175, "20": 0.49264705882352944, "30": 0.5676470588235294}
Epoch 60 {"5": 0.12941176470588234, "8": 0.15441176470588236, "10": 0.17352941176470588, "12": 0.18823529411764706, "14": 0.20441176470588235, "16": 0.21911764705882353, "18": 0.23529411764705882, "20": 0.25588235294117645, "30": 0.32794117647058824}
Epoch 65 {"5": 0.3602941176470588, "8": 0.4676470588235294, "10": 0.5661764705882353, "12": 0.5720588235294117, "14": 0.5823529411764705, "16": 0.5955882352941176, "18": 0.6029411764705883, "20": 0.6132352941176471, "30": 0.6588235294117647}
Epoch 70 {"5": 0.29705882352941176, "8": 0.4235294117647058, "10": 0.5647058823529412, "12": 0.5779411764705882, "14": 0.5970588235294118, "16": 0.6058823529411765, "18": 0.6176470588235294, "20": 0.6294117647058823, "30": 0.6735294117647059}
Epoch 75 {"5": 0.25588235294117645, "8": 0.36176470588235293, "10": 0.5235294117647059, "12": 0.5279411764705882, "14": 0.5544117647058824, "16": 0.575, "18": 0.5941176470588235, "20": 0.6029411764705883, "30": 0.6661764705882354}
