Epoch 0 {"5": 0.12058823529411765, "8": 0.1764705882352941, "10": 0.2161764705882353, "12": 0.24264705882352944, "14": 0.275, "16": 0.3, "18": 0.325, "20": 0.35441176470588237, "30": 0.45}
Epoch 5 {"5": 0.10147058823529412, "8": 0.14852941176470588, "10": 0.1764705882352941, "12": 0.1926470588235294, "14": 0.20735294117647057, "16": 0.22499999999999998, "18": 0.2411764705882353, "20": 0.25441176470588234, "30": 0.3044117647058824}
Epoch 10 {"5": 0.11029411764705882, "8": 0.14558823529411763, "10": 0.17058823529411765, "12": 0.2, "14": 0.22352941176470587, "16": 0.25441176470588234, "18": 0.28088235294117647, "20": 0.30000000000000004, "30": 0.3779411764705882}
Epoch 15 {"5": 0.12205882352941178, "8": 0.15147058823529413, "10": 0.18676470588235294, "12": 0.2147058823529412, "14": 0.25, "16": 0.26323529411764707, "18": 0.31176470588235294, "20": 0.3294117647058824, "30": 0.4455882352941176}
Epoch 20 {"5": 0.1, "8": 0.12794117647058822, "10": 0.1985294117647059, "12": 0.21764705882352942, "14": 0.24558823529411766, "16": 0.2529411764705882, "18": 0.2985294117647059, "20": 0.3176470588235294, "30": 0.4088235294117647}
Epoch 25 {"5": 0.14411764705882352, "8": 0.20294117647058824, "10": 0.38088235294117645, "12": 0.40147058823529413, "14": 0.4117647058823529, "16": 0.43676470588235294, "18": 0.4676470588235294, "20": 0.4897058823529412, "30": 0.5705882352941176}
Epoch 30 {"5": 0.15735294117647058, "8": 0.22941176470588237, "10": 0.4088235294117647, "12": 0.43970588235294117, "14": 0.4661764705882353, "16": 0.4882352941176471, "18": 0.5147058823529411, "20": 0.5338235294117647, "30": 0.6058823529411765}
Epoch 35 {"5": 0.1602941176470588, "8": 0.2323529411764706, "10": 0.39558823529411763, "12": 0.425, "14": 0.44852941176470584, "16": 0.475, "18": 0.5014705882352941, "20": 0.5161764705882352, "30": 0.6000000000000001}
Epoch 40 {"5": 0.1338235294117647, "8": 0.1823529411764706, "10": 0.2867647058823529, "12": 0.31470588235294117, "14": 0.34705882352941175, "16": 0.3588235294117647, "18": 0.40147058823529413, "20": 0.4308823529411765, "30": 0.5161764705882352}
Epoch 45 {"5": 0.17352941176470588, "8": 0.24411764705882352, "10": 0.38088235294117645, "12": 0.40147058823529413, "14": 0.4338235294117647, "16": 0.45882352941176474, "18": 0.4852941176470588, "20": 0.5029411764705882, "30": 0.5720588235294117}
Epoch 50 {"5": 0.175, "8": 0.2691176470588235, "10": 0.4220588235294118, "12": 0.4470588235294118, "14": 0.47205882352941175, "16": 0.49264705882352944, "18": 0.5117647058823529, "20": 0.5367647058823529, "30": 0.6191176470588236}
Epoch 55 {"5": 0.11029411764705882, "8": 0.14558823529411763, "10": 0.2911764705882353, "12": 0.3029411764705882, "14": 0.32352941176470584, "16": 0.3426470588235294, "18": 0.3720588235294118, "20": 0.3867647058823529, "30": 0.46176470588235297}
Epoch 60 {"5": 0.1264705882352941, "8": 0.17205882352941176, "10": 0.2823529411764706, "12": 0.3073529411764706, "14": 0.3411764705882353, "16": 0.3588235294117647, "18": 0.38088235294117645, "20": 0.40588235294117647, "30": 0.49117647058823527}
Epoch 65 {"5": 0.125, "8": 0.16176470588235295, "10": 0.29411764705882354, "12": 0.3205882352941176, "14": 0.3411764705882353, "16": 0.36323529411764705, "18": 0.3955882352941177, "20": 0.42058823529411765, "30": 0.5117647058823529}
Epoch 70 {"5": 0.1411764705882353, "8": 0.25735294117647056, "10": 0.40294117647058825, "12": 0.41470588235294115, "14": 0.4294117647058823, "16": 0.4544117647058824, "18": 0.4764705882352941, "20": 0.5088235294117647, "30": 0.5911764705882353}
Epoch 75 {"5": 0.12205882352941178, "8": 0.22058823529411764, "10": 0.34558823529411764, "12": 0.36764705882352944, "14": 0.38676470588235295, "16": 0.41470588235294115, "18": 0.4323529411764706, "20": 0.4588235294117647, "30": 0.5573529411764706}
