Epoch 0 {"5": 0.09705882352941177, "8": 0.14852941176470588, "10": 0.19558823529411762, "12": 0.21470588235294116, "14": 0.24117647058823527, "16": 0.25441176470588234, "18": 0.2838235294117647, "20": 0.31176470588235294, "30": 0.4294117647058823}
Epoch 5 {"5": 0.07205882352941177, "8": 0.11764705882352941, "10": 0.14558823529411763, "12": 0.16911764705882354, "14": 0.18823529411764706, "16": 0.22205882352941175, "18": 0.23970588235294116, "20": 0.2647058823529412, "30": 0.3588235294117647}
Epoch 10 {"5": 0.12058823529411763, "8": 0.1514705882352941, "10": 0.2514705882352941, "12": 0.2911764705882353, "14": 0.3264705882352941, "16": 0.33529411764705885, "18": 0.3897058823529412, "20": 0.4147058823529412, "30": 0.5235294117647059}
Epoch 15 {"5": 0.10441176470588236, "8": 0.14411764705882352, "10": 0.26323529411764707, "12": 0.2823529411764706, "14": 0.3044117647058824, "16": 0.3088235294117647, "18": 0.34558823529411764, "20": 0.36911764705882355, "30": 0.49558823529411766}
Epoch 20 {"5": 0.10588235294117648, "8": 0.14411764705882352, "10": 0.27205882352941174, "12": 0.28823529411764703, "14": 0.3088235294117647, "16": 0.3264705882352941, "18": 0.35294117647058826, "20": 0.3764705882352941, "30": 0.46911764705882353}
Epoch 25 {"5": 0.1411764705882353, "8": 0.23529411764705882, "10": 0.38235294117647056, "12": 0.4, "14": 0.4205882352941177, "16": 0.4441176470588235, "18": 0.4764705882352941, "20": 0.49411764705882355, "30": 0.6147058823529412}
Epoch 30 {"5": 0.11323529411764707, "8": 0.17058823529411765, "10": 0.3397058823529412, "12": 0.3720588235294118, "14": 0.3985294117647059, "16": 0.4294117647058824, "18": 0.44852941176470584, "20": 0.47352941176470587, "30": 0.5544117647058824}
Epoch 35 {"5": 0.06764705882352942, "8": 0.10294117647058823, "10": 0.13970588235294118, "12": 0.16470588235294117, "14": 0.18970588235294117, "16": 0.20294117647058824, "18": 0.22794117647058826, "20": 0.24411764705882355, "30": 0.3411764705882353}
Epoch 40 {"5": 0.12794117647058822, "8": 0.18823529411764706, "10": 0.3264705882352941, "12": 0.34852941176470587, "14": 0.3720588235294118, "16": 0.3985294117647059, "18": 0.42205882352941176, "20": 0.43529411764705883, "30": 0.5426470588235294}
Epoch 45 {"5": 0.1426470588235294, "8": 0.175, "10": 0.32941176470588235, "12": 0.3573529411764706, "14": 0.388235294117647, "16": 0.41617647058823526, "18": 0.4441176470588235, "20": 0.4676470588235294, "30": 0.575}
Epoch 50 {"5": 0.051470588235294115, "8": 0.08823529411764706, "10": 0.09852941176470588, "12": 0.11176470588235295, "14": 0.1264705882352941, "16": 0.1338235294117647, "18": 0.14705882352941177, "20": 0.16617647058823531, "30": 0.22941176470588234}
Epoch 55 {"5": 0.09264705882352942, "8": 0.14411764705882352, "10": 0.17352941176470588, "12": 0.1911764705882353, "14": 0.2147058823529412, "16": 0.2338235294117647, "18": 0.26029411764705884, "20": 0.29117647058823526, "30": 0.40147058823529413}
Epoch 60 {"5": 0.12205882352941176, "8": 0.17794117647058824, "10": 0.31176470588235294, "12": 0.3397058823529412, "14": 0.375, "16": 0.3897058823529412, "18": 0.42205882352941176, "20": 0.4602941176470588, "30": 0.5514705882352942}
Epoch 65 {"5": 0.1, "8": 0.14705882352941177, "10": 0.18529411764705883, "12": 0.20588235294117646, "14": 0.22794117647058826, "16": 0.2485294117647059, "18": 0.27647058823529413, "20": 0.3014705882352941, "30": 0.3985294117647059}
Epoch 70 {"5": 0.12058823529411766, "8": 0.19411764705882353, "10": 0.3323529411764706, "12": 0.35735294117647054, "14": 0.3867647058823529, "16": 0.4088235294117647, "18": 0.43529411764705883, "20": 0.47205882352941175, "30": 0.5617647058823529}
Epoch 75 {"5": 0.047058823529411764, "8": 0.07941176470588235, "10": 0.09999999999999999, "12": 0.11911764705882352, "14": 0.1338235294117647, "16": 0.15441176470588236, "18": 0.17058823529411765, "20": 0.18676470588235294, "30": 0.25}
