Epoch 0 {"5": 0.08970588235294119, "8": 0.11470588235294117, "10": 0.13529411764705881, "12": 0.16470588235294117, "14": 0.18676470588235294, "16": 0.2147058823529412, "18": 0.22647058823529412, "20": 0.2426470588235294, "30": 0.32794117647058824}
Epoch 5 {"5": 0.052941176470588235, "8": 0.0823529411764706, "10": 0.09411764705882353, "12": 0.11029411764705882, "14": 0.12794117647058822, "16": 0.1411764705882353, "18": 0.16323529411764706, "20": 0.17205882352941176, "30": 0.22647058823529412}
Epoch 10 {"5": 0.057352941176470586, "8": 0.08676470588235294, "10": 0.11470588235294119, "12": 0.12794117647058822, "14": 0.14705882352941177, "16": 0.15735294117647058, "18": 0.17352941176470588, "20": 0.19117647058823528, "30": 0.26323529411764707}
Epoch 15 {"5": 0.0911764705882353, "8": 0.1323529411764706, "10": 0.16470588235294117, "12": 0.18529411764705883, "14": 0.21176470588235294, "16": 0.225, "18": 0.23529411764705882, "20": 0.26176470588235295, "30": 0.34411764705882353}
Epoch 20 {"5": 0.10588235294117648, "8": 0.1588235294117647, "10": 0.1808823529411765, "12": 0.20147058823529412, "14": 0.22941176470588237, "16": 0.25, "18": 0.27794117647058825, "20": 0.2911764705882353, "30": 0.3911764705882353}
Epoch 25 {"5": 0.08529411764705883, "8": 0.125, "10": 0.15294117647058825, "12": 0.1808823529411765, "14": 0.1985294117647059, "16": 0.2235294117647059, "18": 0.25441176470588234, "20": 0.27205882352941174, "30": 0.3661764705882353}
Epoch 30 {"5": 0.07058823529411765, "8": 0.11323529411764706, "10": 0.13088235294117648, "12": 0.15294117647058822, "14": 0.16911764705882354, "16": 0.18676470588235294, "18": 0.2, "20": 0.21764705882352942, "30": 0.2661764705882353}
Epoch 35 {"5": 0.08088235294117647, "8": 0.12941176470588234, "10": 0.18088235294117647, "12": 0.20588235294117646, "14": 0.23088235294117648, "16": 0.2485294117647059, "18": 0.27647058823529413, "20": 0.3088235294117647, "30": 0.3897058823529411}
Epoch 40 {"5": 0.12941176470588234, "8": 0.19705882352941176, "10": 0.3647058823529412, "12": 0.37941176470588234, "14": 0.4088235294117647, "16": 0.4323529411764706, "18": 0.4573529411764706, "20": 0.4823529411764706, "30": 0.5764705882352941}
Epoch 45 {"5": 0.10882352941176471, "8": 0.1411764705882353, "10": 0.2323529411764706, "12": 0.26323529411764707, "14": 0.28823529411764703, "16": 0.3161764705882353, "18": 0.34705882352941175, "20": 0.3661764705882353, "30": 0.4882352941176471}
Epoch 50 {"5": 0.1411764705882353, "8": 0.1985294117647059, "10": 0.3323529411764706, "12": 0.3411764705882353, "14": 0.3735294117647059, "16": 0.40441176470588236, "18": 0.4308823529411765, "20": 0.4514705882352941, "30": 0.5764705882352941}
Epoch 55 {"5": 0.13823529411764707, "8": 0.21911764705882353, "10": 0.35, "12": 0.37058823529411766, "14": 0.3852941176470588, "16": 0.41764705882352937, "18": 0.4514705882352941, "20": 0.48088235294117654, "30": 0.586764705882353}
Epoch 60 {"5": 0.13970588235294118, "8": 0.22058823529411764, "10": 0.3661764705882353, "12": 0.38235294117647056, "14": 0.40588235294117647, "16": 0.4279411764705882, "18": 0.4647058823529412, "20": 0.486764705882353, "30": 0.5838235294117646}
Epoch 65 {"5": 0.1426470588235294, "8": 0.23676470588235293, "10": 0.3735294117647059, "12": 0.3941176470588235, "14": 0.41470588235294115, "16": 0.4455882352941176, "18": 0.4647058823529412, "20": 0.4882352941176471, "30": 0.5941176470588235}
Epoch 70 {"5": 0.13676470588235295, "8": 0.21764705882352942, "10": 0.3588235294117647, "12": 0.3897058823529412, "14": 0.4264705882352941, "16": 0.45882352941176474, "18": 0.47500000000000003, "20": 0.4970588235294118, "30": 0.5838235294117647}
Epoch 75 {"5": 0.13088235294117648, "8": 0.28970588235294115, "10": 0.425, "12": 0.4529411764705883, "14": 0.47352941176470587, "16": 0.49264705882352944, "18": 0.513235294117647, "20": 0.5352941176470588, "30": 0.6102941176470589}
