Epoch 0 {"5": 0.10735294117647058, "8": 0.1588235294117647, "10": 0.19117647058823528, "12": 0.2147058823529412, "14": 0.2323529411764706, "16": 0.2514705882352941, "18": 0.27205882352941174, "20": 0.28823529411764703, "30": 0.3838235294117647}
Epoch 5 {"5": 0.06323529411764706, "8": 0.09117647058823529, "10": 0.1, "12": 0.11176470588235295, "14": 0.125, "16": 0.13823529411764707, "18": 0.14852941176470588, "20": 0.15588235294117647, "30": 0.1970588235294118}
Epoch 10 {"5": 0.08382352941176471, "8": 0.10882352941176471, "10": 0.1514705882352941, "12": 0.17058823529411765, "14": 0.1823529411764706, "16": 0.19558823529411765, "18": 0.2147058823529412, "20": 0.2338235294117647, "30": 0.3088235294117647}
Epoch 15 {"5": 0.10441176470588236, "8": 0.13529411764705881, "10": 0.18970588235294117, "12": 0.21176470588235294, "14": 0.24411764705882352, "16": 0.275, "18": 0.30000000000000004, "20": 0.3191176470588235, "30": 0.4088235294117647}
Epoch 20 {"5": 0.13529411764705881, "8": 0.14852941176470588, "10": 0.29558823529411765, "12": 0.32352941176470584, "14": 0.34705882352941175, "16": 0.36323529411764705, "18": 0.40147058823529413, "20": 0.42500000000000004, "30": 0.525}
Epoch 25 {"5": 0.1588235294117647, "8": 0.18970588235294117, "10": 0.34852941176470587, "12": 0.36470588235294116, "14": 0.3897058823529412, "16": 0.4147058823529412, "18": 0.4485294117647059, "20": 0.47058823529411764, "30": 0.5544117647058824}
Epoch 30 {"5": 0.14705882352941174, "8": 0.2147058823529412, "10": 0.38088235294117645, "12": 0.40147058823529413, "14": 0.42058823529411765, "16": 0.44705882352941173, "18": 0.47205882352941175, "20": 0.49411764705882355, "30": 0.5779411764705882}
Epoch 35 {"5": 0.13676470588235295, "8": 0.20147058823529412, "10": 0.36176470588235293, "12": 0.3794117647058824, "14": 0.3955882352941177, "16": 0.4117647058823529, "18": 0.4308823529411765, "20": 0.4529411764705883, "30": 0.5558823529411765}
Epoch 40 {"5": 0.12205882352941176, "8": 0.1985294117647059, "10": 0.361764705882353, "12": 0.3735294117647059, "14": 0.3941176470588235, "16": 0.4161764705882353, "18": 0.4411764705882353, "20": 0.4632352941176471, "30": 0.5514705882352942}
Epoch 45 {"5": 0.08529411764705883, "8": 0.10294117647058823, "10": 0.11911764705882352, "12": 0.13676470588235295, "14": 0.15441176470588236, "16": 0.1588235294117647, "18": 0.17058823529411765, "20": 0.18235294117647058, "30": 0.2573529411764706}
Epoch 50 {"5": 0.16176470588235292, "8": 0.25, "10": 0.3838235294117647, "12": 0.39852941176470585, "14": 0.425, "16": 0.4455882352941177, "18": 0.4764705882352941, "20": 0.4926470588235294, "30": 0.5764705882352942}
Epoch 55 {"5": 0.10441176470588234, "8": 0.1514705882352941, "10": 0.2647058823529412, "12": 0.27941176470588236, "14": 0.29705882352941176, "16": 0.31029411764705883, "18": 0.3397058823529412, "20": 0.36176470588235293, "30": 0.4279411764705882}
Epoch 60 {"5": 0.15441176470588236, "8": 0.17205882352941176, "10": 0.3014705882352941, "12": 0.31470588235294117, "14": 0.3382352941176471, "16": 0.3514705882352941, "18": 0.3941176470588236, "20": 0.4220588235294117, "30": 0.5044117647058823}
Epoch 65 {"5": 0.09264705882352942, "8": 0.11470588235294119, "10": 0.15294117647058825, "12": 0.16764705882352943, "14": 0.18676470588235294, "16": 0.2, "18": 0.22058823529411764, "20": 0.22941176470588237, "30": 0.27941176470588236}
Epoch 70 {"5": 0.15441176470588236, "8": 0.2161764705882353, "10": 0.34411764705882353, "12": 0.3602941176470588, "14": 0.375, "16": 0.3941176470588235, "18": 0.42794117647058827, "20": 0.4529411764705883, "30": 0.55}
Epoch 75 {"5": 0.14705882352941177, "8": 0.23676470588235293, "10": 0.38676470588235295, "12": 0.3970588235294118, "14": 0.41764705882352937, "16": 0.43970588235294117, "18": 0.4632352941176471, "20": 0.4852941176470588, "30": 0.5926470588235294}
