Epoch 0 {"5": 0.1926470588235294, "8": 0.22941176470588234, "10": 0.25735294117647056, "12": 0.27647058823529413, "14": 0.29558823529411765, "16": 0.3073529411764706, "18": 0.32794117647058824, "20": 0.3411764705882353, "30": 0.40441176470588236}
Epoch 5 {"5": 0.16470588235294117, "8": 0.19117647058823528, "10": 0.21029411764705883, "12": 0.2338235294117647, "14": 0.25, "16": 0.2661764705882353, "18": 0.29411764705882354, "20": 0.3058823529411765, "30": 0.36470588235294116}
Epoch 10 {"5": 0.1823529411764706, "8": 0.20735294117647057, "10": 0.225, "12": 0.23676470588235293, "14": 0.2514705882352941, "16": 0.2676470588235294, "18": 0.28823529411764703, "20": 0.3088235294117647, "30": 0.40294117647058825}
Epoch 15 {"5": 0.18529411764705883, "8": 0.20294117647058824, "10": 0.29705882352941176, "12": 0.3191176470588235, "14": 0.3397058823529412, "16": 0.3558823529411764, "18": 0.38088235294117645, "20": 0.40294117647058825, "30": 0.4911764705882353}
Epoch 20 {"5": 0.22352941176470587, "8": 0.24264705882352938, "10": 0.37941176470588234, "12": 0.38823529411764707, "14": 0.41470588235294115, "16": 0.41470588235294115, "18": 0.43970588235294117, "20": 0.4588235294117647, "30": 0.5485294117647059}
Epoch 25 {"5": 0.1970588235294118, "8": 0.24411764705882352, "10": 0.34558823529411764, "12": 0.3764705882352941, "14": 0.3955882352941177, "16": 0.40588235294117647, "18": 0.4294117647058824, "20": 0.44705882352941173, "30": 0.5308823529411765}
Epoch 30 {"5": 0.2147058823529412, "8": 0.24705882352941178, "10": 0.31470588235294117, "12": 0.33676470588235297, "14": 0.3661764705882353, "16": 0.38235294117647056, "18": 0.41764705882352937, "20": 0.43970588235294117, "30": 0.5161764705882353}
Epoch 35 {"5": 0.22794117647058823, "8": 0.29852941176470593, "10": 0.4573529411764706, "12": 0.475, "14": 0.5014705882352941, "16": 0.5147058823529411, "18": 0.5308823529411765, "20": 0.5426470588235294, "30": 0.611764705882353}
Epoch 40 {"5": 0.19558823529411765, "8": 0.25441176470588234, "10": 0.40294117647058825, "12": 0.41323529411764703, "14": 0.43088235294117644, "16": 0.4485294117647059, "18": 0.4794117647058823, "20": 0.4985294117647059, "30": 0.5705882352941176}
Epoch 45 {"5": 0.2338235294117647, "8": 0.33382352941176474, "10": 0.4808823529411765, "12": 0.5029411764705882, "14": 0.5191176470588235, "16": 0.5323529411764706, "18": 0.5426470588235295, "20": 0.5544117647058824, "30": 0.6279411764705882}
Epoch 50 {"5": 0.1779411764705882, "8": 0.21764705882352942, "10": 0.30147058823529416, "12": 0.31470588235294117, "14": 0.33529411764705885, "16": 0.3411764705882353, "18": 0.36911764705882355, "20": 0.38235294117647056, "30": 0.46911764705882353}
Epoch 55 {"5": 0.2102941176470588, "8": 0.33088235294117646, "10": 0.4632352941176471, "12": 0.48382352941176465, "14": 0.5073529411764706, "16": 0.5294117647058824, "18": 0.5441176470588235, "20": 0.5544117647058824, "30": 0.6264705882352941}
Epoch 60 {"5": 0.21911764705882353, "8": 0.3426470588235294, "10": 0.4764705882352941, "12": 0.4970588235294118, "14": 0.5191176470588235, "16": 0.5323529411764706, "18": 0.5529411764705883, "20": 0.5691176470588235, "30": 0.6235294117647059}
Epoch 65 {"5": 0.20735294117647057, "8": 0.2720588235294118, "10": 0.3852941176470588, "12": 0.4088235294117647, "14": 0.4294117647058824, "16": 0.43529411764705883, "18": 0.4558823529411765, "20": 0.47058823529411764, "30": 0.5176470588235293}
Epoch 70 {"5": 0.2338235294117647, "8": 0.3558823529411765, "10": 0.4794117647058823, "12": 0.4970588235294118, "14": 0.5147058823529412, "16": 0.5367647058823529, "18": 0.5558823529411765, "20": 0.5705882352941176, "30": 0.638235294117647}
Epoch 75 {"5": 0.22794117647058823, "8": 0.3661764705882353, "10": 0.525, "12": 0.5411764705882353, "14": 0.5558823529411765, "16": 0.5808823529411765, "18": 0.5926470588235294, "20": 0.6132352941176471, "30": 0.6632352941176471}
