Epoch 0 {"5": 0.05588235294117647, "8": 0.09411764705882353, "10": 0.1161764705882353, "12": 0.13676470588235293, "14": 0.1588235294117647, "16": 0.1838235294117647, "18": 0.20441176470588235, "20": 0.22058823529411764, "30": 0.3161764705882353}
Epoch 5 {"5": 0.04411764705882353, "8": 0.06029411764705882, "10": 0.07794117647058824, "12": 0.0926470588235294, "14": 0.1073529411764706, "16": 0.12058823529411765, "18": 0.13529411764705881, "20": 0.15588235294117647, "30": 0.22058823529411764}
Epoch 10 {"5": 0.06323529411764706, "8": 0.08823529411764705, "10": 0.10441176470588236, "12": 0.125, "14": 0.1514705882352941, "16": 0.1661764705882353, "18": 0.1852941176470588, "20": 0.20441176470588235, "30": 0.27058823529411763}
Epoch 15 {"5": 0.06029411764705883, "8": 0.10147058823529412, "10": 0.1411764705882353, "12": 0.1602941176470588, "14": 0.18970588235294117, "16": 0.20735294117647057, "18": 0.23088235294117648, "20": 0.25735294117647056, "30": 0.36764705882352944}
Epoch 20 {"5": 0.09411764705882353, "8": 0.12205882352941176, "10": 0.22058823529411764, "12": 0.24117647058823533, "14": 0.2602941176470588, "16": 0.27205882352941174, "18": 0.31176470588235294, "20": 0.32794117647058824, "30": 0.43823529411764706}
Epoch 25 {"5": 0.06911764705882353, "8": 0.1, "10": 0.18676470588235294, "12": 0.2161764705882353, "14": 0.24264705882352938, "16": 0.2529411764705882, "18": 0.29264705882352937, "20": 0.32352941176470584, "30": 0.42058823529411765}
Epoch 30 {"5": 0.07352941176470588, "8": 0.10441176470588234, "10": 0.13970588235294118, "12": 0.1602941176470588, "14": 0.18382352941176472, "16": 0.21176470588235294, "18": 0.2514705882352941, "20": 0.27794117647058825, "30": 0.40294117647058825}
Epoch 35 {"5": 0.07941176470588235, "8": 0.11470588235294119, "10": 0.14411764705882352, "12": 0.17352941176470588, "14": 0.19852941176470587, "16": 0.21911764705882353, "18": 0.2529411764705882, "20": 0.2691176470588235, "30": 0.3779411764705882}
Epoch 40 {"5": 0.1161764705882353, "8": 0.16911764705882354, "10": 0.2102941176470588, "12": 0.2323529411764706, "14": 0.25441176470588234, "16": 0.2911764705882353, "18": 0.3176470588235294, "20": 0.33529411764705885, "30": 0.4602941176470588}
Epoch 45 {"5": 0.11176470588235295, "8": 0.1588235294117647, "10": 0.2514705882352941, "12": 0.2661764705882353, "14": 0.3044117647058824, "16": 0.3294117647058824, "18": 0.3661764705882353, "20": 0.3897058823529412, "30": 0.5058823529411764}
Epoch 50 {"5": 0.12794117647058822, "8": 0.22647058823529412, "10": 0.3720588235294118, "12": 0.3926470588235294, "14": 0.41911764705882354, "16": 0.4426470588235294, "18": 0.46029411764705885, "20": 0.4852941176470589, "30": 0.586764705882353}
Epoch 55 {"5": 0.11323529411764706, "8": 0.20588235294117646, "10": 0.36617647058823527, "12": 0.3897058823529412, "14": 0.41323529411764703, "16": 0.4294117647058824, "18": 0.4455882352941176, "20": 0.4676470588235294, "30": 0.5838235294117647}
Epoch 60 {"5": 0.13088235294117648, "8": 0.18382352941176472, "10": 0.3323529411764706, "12": 0.3573529411764706, "14": 0.37941176470588234, "16": 0.40588235294117647, "18": 0.4338235294117647, "20": 0.4647058823529412, "30": 0.5823529411764706}
Epoch 65 {"5": 0.11029411764705882, "8": 0.1823529411764706, "10": 0.3235294117647059, "12": 0.34411764705882353, "14": 0.3661764705882353, "16": 0.3970588235294118, "18": 0.42794117647058827, "20": 0.44852941176470584, "30": 0.5764705882352941}
Epoch 70 {"5": 0.13088235294117648, "8": 0.23088235294117648, "10": 0.3926470588235294, "12": 0.4073529411764706, "14": 0.43970588235294117, "16": 0.4544117647058824, "18": 0.475, "20": 0.4970588235294118, "30": 0.6088235294117648}
Epoch 75 {"5": 0.1, "8": 0.21911764705882353, "10": 0.3735294117647059, "12": 0.39705882352941174, "14": 0.4176470588235294, "16": 0.4544117647058824, "18": 0.4779411764705882, "20": 0.5102941176470588, "30": 0.611764705882353}
