Epoch 0 {"5": 0.07647058823529412, "8": 0.11911764705882352, "10": 0.16911764705882354, "12": 0.20147058823529412, "14": 0.22352941176470587, "16": 0.24558823529411763, "18": 0.27794117647058825, "20": 0.3058823529411765, "30": 0.4}
Epoch 5 {"5": 0.0661764705882353, "8": 0.11911764705882354, "10": 0.13970588235294118, "12": 0.15, "14": 0.17352941176470588, "16": 0.19117647058823528, "18": 0.21764705882352942, "20": 0.25, "30": 0.33676470588235297}
Epoch 10 {"5": 0.10441176470588236, "8": 0.16323529411764703, "10": 0.31176470588235294, "12": 0.33529411764705885, "14": 0.3573529411764706, "16": 0.3852941176470588, "18": 0.41911764705882354, "20": 0.43529411764705883, "30": 0.5279411764705882}
Epoch 15 {"5": 0.13088235294117645, "8": 0.14852941176470588, "10": 0.29705882352941176, "12": 0.3235294117647059, "14": 0.3661764705882353, "16": 0.40294117647058825, "18": 0.44999999999999996, "20": 0.4676470588235294, "30": 0.5720588235294117}
Epoch 20 {"5": 0.07205882352941176, "8": 0.11470588235294117, "10": 0.13676470588235295, "12": 0.15, "14": 0.1676470588235294, "16": 0.18676470588235294, "18": 0.20441176470588235, "20": 0.2323529411764706, "30": 0.33676470588235297}
Epoch 25 {"5": 0.1073529411764706, "8": 0.1823529411764706, "10": 0.3264705882352941, "12": 0.34558823529411764, "14": 0.3779411764705882, "16": 0.4147058823529412, "18": 0.45882352941176474, "20": 0.48382352941176476, "30": 0.5808823529411765}
Epoch 30 {"5": 0.05735294117647059, "8": 0.09117647058823529, "10": 0.11764705882352941, "12": 0.13529411764705881, "14": 0.1661764705882353, "16": 0.18970588235294117, "18": 0.21323529411764705, "20": 0.22205882352941178, "30": 0.29558823529411765}
Epoch 35 {"5": 0.09558823529411764, "8": 0.19411764705882353, "10": 0.32205882352941173, "12": 0.34411764705882353, "14": 0.37058823529411766, "16": 0.3852941176470588, "18": 0.4205882352941177, "20": 0.4529411764705882, "30": 0.575}
Epoch 40 {"5": 0.08676470588235294, "8": 0.16470588235294117, "10": 0.33088235294117646, "12": 0.34852941176470587, "14": 0.36323529411764705, "16": 0.38235294117647056, "18": 0.4205882352941177, "20": 0.4426470588235294, "30": 0.5367647058823529}
Epoch 45 {"5": 0.10294117647058823, "8": 0.14705882352941174, "10": 0.19264705882352942, "12": 0.21323529411764708, "14": 0.23970588235294116, "16": 0.2514705882352941, "18": 0.2852941176470588, "20": 0.3088235294117647, "30": 0.3926470588235294}
Epoch 50 {"5": 0.10147058823529412, "8": 0.18676470588235294, "10": 0.325, "12": 0.36470588235294116, "14": 0.3897058823529412, "16": 0.4161764705882353, "18": 0.43529411764705883, "20": 0.4558823529411765, "30": 0.5544117647058824}
Epoch 55 {"5": 0.10294117647058823, "8": 0.16470588235294117, "10": 0.31470588235294117, "12": 0.34705882352941175, "14": 0.3735294117647059, "16": 0.3985294117647059, "18": 0.4191176470588235, "20": 0.4411764705882353, "30": 0.5323529411764706}
Epoch 60 {"5": 0.10441176470588234, "8": 0.175, "10": 0.3176470588235294, "12": 0.3411764705882353, "14": 0.3720588235294118, "16": 0.40588235294117647, "18": 0.4455882352941176, "20": 0.4808823529411765, "30": 0.5897058823529412}
Epoch 65 {"5": 0.039705882352941174, "8": 0.055882352941176466, "10": 0.07500000000000001, "12": 0.09264705882352942, "14": 0.1161764705882353, "16": 0.12205882352941176, "18": 0.15147058823529413, "20": 0.16470588235294117, "30": 0.2323529411764706}
Epoch 70 {"5": 0.08235294117647059, "8": 0.14411764705882352, "10": 0.28823529411764703, "12": 0.3073529411764706, "14": 0.3220588235294118, "16": 0.3529411764705882, "18": 0.38088235294117645, "20": 0.40147058823529413, "30": 0.5132352941176471}
Epoch 75 {"5": 0.07500000000000001, "8": 0.1985294117647059, "10": 0.36176470588235293, "12": 0.38676470588235295, "14": 0.4117647058823529, "16": 0.42500000000000004, "18": 0.45294117647058824, "20": 0.46911764705882353, "30": 0.5720588235294117}
