Epoch 0 {"5": 0.12205882352941176, "8": 0.14852941176470588, "10": 0.18529411764705883, "12": 0.21029411764705885, "14": 0.22794117647058823, "16": 0.25441176470588234, "18": 0.275, "20": 0.29411764705882354, "30": 0.3852941176470588}
Epoch 5 {"5": 0.06323529411764706, "8": 0.07647058823529412, "10": 0.08382352941176471, "12": 0.09558823529411765, "14": 0.10147058823529412, "16": 0.11323529411764706, "18": 0.125, "20": 0.13529411764705881, "30": 0.18088235294117647}
Epoch 10 {"5": 0.21911764705882353, "8": 0.2529411764705882, "10": 0.3602941176470589, "12": 0.3779411764705882, "14": 0.40441176470588236, "16": 0.41470588235294115, "18": 0.43970588235294117, "20": 0.45, "30": 0.55}
Epoch 15 {"5": 0.14558823529411763, "8": 0.17647058823529413, "10": 0.2735294117647059, "12": 0.29264705882352937, "14": 0.31323529411764706, "16": 0.3338235294117647, "18": 0.3602941176470588, "20": 0.3735294117647059, "30": 0.4882352941176471}
Epoch 20 {"5": 0.13970588235294118, "8": 0.18970588235294117, "10": 0.275, "12": 0.28823529411764703, "14": 0.31470588235294117, "16": 0.34558823529411764, "18": 0.3735294117647059, "20": 0.40588235294117647, "30": 0.5205882352941177}
Epoch 25 {"5": 0.2264705882352941, "8": 0.3044117647058824, "10": 0.47647058823529415, "12": 0.5014705882352941, "14": 0.5220588235294117, "16": 0.5264705882352941, "18": 0.55, "20": 0.5602941176470588, "30": 0.6338235294117647}
Epoch 30 {"5": 0.21911764705882353, "8": 0.275, "10": 0.44999999999999996, "12": 0.47205882352941175, "14": 0.48823529411764705, "16": 0.5044117647058823, "18": 0.5397058823529413, "20": 0.5514705882352942, "30": 0.6426470588235293}
Epoch 35 {"5": 0.1338235294117647, "8": 0.16764705882352943, "10": 0.23970588235294116, "12": 0.2602941176470588, "14": 0.2838235294117647, "16": 0.3044117647058824, "18": 0.3382352941176471, "20": 0.35882352941176465, "30": 0.47058823529411764}
Epoch 40 {"5": 0.31029411764705883, "8": 0.39705882352941174, "10": 0.5808823529411765, "12": 0.5926470588235294, "14": 0.6014705882352941, "16": 0.6088235294117648, "18": 0.6264705882352941, "20": 0.6352941176470588, "30": 0.6867647058823529}
Epoch 45 {"5": 0.3176470588235294, "8": 0.425, "10": 0.5926470588235294, "12": 0.6073529411764707, "14": 0.625, "16": 0.6323529411764706, "18": 0.6426470588235293, "20": 0.6514705882352941, "30": 0.7073529411764705}
Epoch 50 {"5": 0.25, "8": 0.29117647058823526, "10": 0.3514705882352941, "12": 0.36617647058823527, "14": 0.3867647058823529, "16": 0.3941176470588236, "18": 0.41764705882352937, "20": 0.4338235294117647, "30": 0.4911764705882353}
Epoch 55 {"5": 0.25, "8": 0.31470588235294117, "10": 0.46911764705882353, "12": 0.49558823529411766, "14": 0.5176470588235293, "16": 0.5382352941176471, "18": 0.5588235294117647, "20": 0.5794117647058823, "30": 0.6294117647058823}
Epoch 60 {"5": 0.2, "8": 0.2720588235294118, "10": 0.42794117647058827, "12": 0.45294117647058824, "14": 0.48676470588235293, "16": 0.5058823529411764, "18": 0.5441176470588236, "20": 0.5647058823529412, "30": 0.6544117647058824}
Epoch 65 {"5": 0.3058823529411765, "8": 0.3544117647058823, "10": 0.4911764705882353, "12": 0.5073529411764706, "14": 0.5176470588235293, "16": 0.5294117647058824, "18": 0.5470588235294118, "20": 0.5720588235294117, "30": 0.6338235294117647}
Epoch 70 {"5": 0.24705882352941178, "8": 0.33235294117647063, "10": 0.4426470588235294, "12": 0.45441176470588235, "14": 0.475, "16": 0.4985294117647059, "18": 0.5205882352941177, "20": 0.5411764705882353, "30": 0.6044117647058824}
Epoch 75 {"5": 0.1926470588235294, "8": 0.2691176470588235, "10": 0.4191176470588235, "12": 0.4455882352941176, "14": 0.4676470588235294, "16": 0.48382352941176476, "18": 0.5073529411764706, "20": 0.5352941176470588, "30": 0.6176470588235294}
