Epoch 0 {"5": 0.08823529411764705, "8": 0.1338235294117647, "10": 0.1676470588235294, "12": 0.18676470588235294, "14": 0.20441176470588235, "16": 0.22058823529411764, "18": 0.22794117647058823, "20": 0.25, "30": 0.3338235294117647}
Epoch 5 {"5": 0.048529411764705876, "8": 0.08676470588235294, "10": 0.10294117647058823, "12": 0.11470588235294119, "14": 0.12941176470588234, "16": 0.1411764705882353, "18": 0.14852941176470588, "20": 0.16176470588235295, "30": 0.21029411764705883}
Epoch 10 {"5": 0.03823529411764706, "8": 0.08382352941176471, "10": 0.10147058823529412, "12": 0.12205882352941178, "14": 0.1426470588235294, "16": 0.1647058823529412, "18": 0.17647058823529413, "20": 0.18382352941176472, "30": 0.23529411764705882}
Epoch 15 {"5": 0.06764705882352941, "8": 0.11470588235294117, "10": 0.13970588235294118, "12": 0.1661764705882353, "14": 0.18088235294117647, "16": 0.19558823529411767, "18": 0.22205882352941175, "20": 0.24411764705882352, "30": 0.3235294117647059}
Epoch 20 {"5": 0.10588235294117647, "8": 0.1426470588235294, "10": 0.23823529411764705, "12": 0.2602941176470588, "14": 0.2838235294117647, "16": 0.29705882352941176, "18": 0.34558823529411764, "20": 0.375, "30": 0.47205882352941175}
Epoch 25 {"5": 0.08676470588235294, "8": 0.11176470588235293, "10": 0.21176470588235294, "12": 0.2338235294117647, "14": 0.2647058823529412, "16": 0.27647058823529413, "18": 0.3205882352941176, "20": 0.3558823529411764, "30": 0.4602941176470588}
Epoch 30 {"5": 0.08676470588235294, "8": 0.125, "10": 0.2485294117647059, "12": 0.2720588235294118, "14": 0.31176470588235294, "16": 0.3176470588235294, "18": 0.36764705882352944, "20": 0.3926470588235294, "30": 0.49411764705882355}
Epoch 35 {"5": 0.0661764705882353, "8": 0.11029411764705882, "10": 0.13823529411764707, "12": 0.15588235294117647, "14": 0.175, "16": 0.1926470588235294, "18": 0.21176470588235294, "20": 0.22647058823529412, "30": 0.31029411764705883}
Epoch 40 {"5": 0.10882352941176471, "8": 0.175, "10": 0.3514705882352941, "12": 0.36911764705882355, "14": 0.3867647058823529, "16": 0.4088235294117647, "18": 0.4411764705882353, "20": 0.4632352941176471, "30": 0.5470588235294118}
Epoch 45 {"5": 0.08088235294117647, "8": 0.10882352941176471, "10": 0.22058823529411764, "12": 0.25588235294117645, "14": 0.2911764705882353, "16": 0.30147058823529416, "18": 0.3397058823529412, "20": 0.3647058823529412, "30": 0.47647058823529415}
Epoch 50 {"5": 0.0911764705882353, "8": 0.14558823529411766, "10": 0.23970588235294116, "12": 0.2661764705882353, "14": 0.29264705882352937, "16": 0.2985294117647059, "18": 0.32794117647058824, "20": 0.3602941176470588, "30": 0.49558823529411766}
Epoch 55 {"5": 0.10588235294117648, "8": 0.14705882352941177, "10": 0.20147058823529412, "12": 0.21911764705882353, "14": 0.24117647058823533, "16": 0.27058823529411763, "18": 0.2985294117647059, "20": 0.3161764705882353, "30": 0.425}
Epoch 60 {"5": 0.13088235294117648, "8": 0.1926470588235294, "10": 0.3588235294117647, "12": 0.3897058823529412, "14": 0.4117647058823529, "16": 0.42794117647058827, "18": 0.4661764705882353, "20": 0.4838235294117647, "30": 0.5852941176470587}
Epoch 65 {"5": 0.14705882352941177, "8": 0.25, "10": 0.43529411764705883, "12": 0.45, "14": 0.4676470588235294, "16": 0.48676470588235293, "18": 0.5088235294117647, "20": 0.5279411764705882, "30": 0.6161764705882353}
Epoch 70 {"5": 0.125, "8": 0.23970588235294116, "10": 0.388235294117647, "12": 0.4073529411764706, "14": 0.42647058823529416, "16": 0.4544117647058824, "18": 0.4779411764705882, "20": 0.5014705882352941, "30": 0.5911764705882353}
Epoch 75 {"5": 0.14411764705882352, "8": 0.23970588235294116, "10": 0.3926470588235294, "12": 0.4117647058823529, "14": 0.43823529411764706, "16": 0.4602941176470588, "18": 0.4852941176470588, "20": 0.4985294117647059, "30": 0.5852941176470587}
